PG.ProteinGroups,cancer,control
A0A075B6J9,1,1
A0A075B6K5,1,1
A0A075B6P5;P01615,1,1
A0A075B6Q5,1,1
A0A075B6R9;A0A0C4DH68,1,1
A0A075B6S2,1,1
A0A075B6S5,1,1
A0A087WW87;P01614,1,1
A0A0A0MS15,1,1
A0A0B4J1U7,1,1
A0A0B4J1V0,1,1
A0A0B4J1V2,1,0
A0A0B4J1V6,1,1
A0A0B4J1X5,1,1
A0A0B4J1X8,1,1
A0A0B4J1Y9,1,1
A0A0B4J2D5;P0DPI2,1,1
A0A0C4DH33,1,1
A0A0C4DH38,1,1
A0A0C4DH67,1,1
A0A0G2JMI3,1,1
A0A0J9YX35,1,1
A0A1B0GTC6,1,1
A0AVT1,1,1
A0FGR8,1,1
A1A4S6,1,1
A1L0T0,1,1
A1L3X0,1,1
A1L4H1,1,1
A1X283,1,1
A2RRP1,1,1
A2RUS2,1,1
A4D1B5,1,1
A4D1P6,1,1
A5YKK6,1,1
A6NDG6,1,1
A6NDU8,1,1
A6NGU5;P19440;P36268,1,1
A6NIH7,1,1
B0I1T2,1,1
B5ME19;Q99613,1,1
C4AMC7;Q6VEQ5,1,1
E9PAV3;Q13765,1,1
E9PB15,1,1
L0R6Q1,1,1
O00116,1,1
O00139,1,1
O00151,1,1
O00154,1,1
O00159,1,1
O00161,1,1
O00170,1,1
O00178,1,1
O00186,1,1
O00187,1,1
O00194,1,1
O00203,1,1
O00231,1,1
O00232,1,1
O00233,1,1
O00244,1,1
O00264,1,1
O00299,1,1
O00303,1,1
O00339,1,1
O00391,1,1
O00410,1,1
O00429,1,1
O00442,1,1
O00451,1,1
O00453,1,1
O00461,1,1
O00468,1,1
O00471,1,1
O00483,1,1
O00487,1,1
O00501,1,1
O00505,1,1
O00506,1,1
O00522,1,1
O00534,1,1
O00560,1,1
O00571,1,1
O00585,1,1
O00602,1,1
O00629,1,1
O00743,1,1
O14523,1,1
O14530,1,1
O14545,1,1
O14548,1,1
O14561,1,1
O14579,1,1
O14594,1,1
O14602,1,1
O14617,1,1
O14618,1,1
O14639,1,1
O14656,1,1
O14662,1,1
O14672,1,1
O14730,1,1
O14734,1,1
O14735,1,1
O14737,1,1
O14744,1,1
O14745,1,1
O14773,1,1
O14775,1,1
O14786,1,1
O14787,1,1
O14791,1,1
O14818,1,1
O14828,1,1
O14874,1,1
O14880,1,1
O14920,1,1
O14960,1,1
O14974,1,1
O14975,1,1
O14976,1,1
O14979,1,1
O14980,1,1
O15013,1,1
O15027,1,1
O15031,1,1
O15067,1,1
O15084,1,1
O15111,1,1
O15117,1,1
O15126,1,1
O15127,1,1
O15143,1,1
O15144,1,1
O15145,1,1
O15162,1,1
O15173,1,1
O15194,1,1
O15204,1,1
O15212,1,1
O15228,1,1
O15230,1,1
O15231,1,1
O15240,1,1
O15260,1,1
O15269,1,1
O15270,1,1
O15305,1,1
O15327,1,1
O15335,1,1
O15354,1,1
O15357,1,1
O15371,1,1
O15372,1,1
O15400,1,1
O15427,1,1
O15439,1,1
O15467,1,1
O15511,1,1
O15533,1,1
O43149,1,1
O43150,1,1
O43157,1,1
O43169,1,1
O43175,1,1
O43182,1,1
O43237,1,1
O43242,1,1
O43294,1,1
O43304,1,1
O43306,1,1
O43312,1,1
O43314,1,1
O43318,1,1
O43324,1,1
O43390,1,1
O43396,1,1
O43399,1,1
O43432,1,1
O43488,1,1
O43491,1,1
O43493,1,1
O43504,1,1
O43516,1,1
O43561,1,1
O43583,1,1
O43615,1,1
O43633,1,1
O43639,1,1
O43665,1,1
O43678,1,1
O43681,1,1
O43707,1,1
O43741,1,1
O43747,1,1
O43760,1,1
O43765,1,1
O43768,1,1
O43772,1,1
O43776,1,1
O43813,1,1
O43815,1,1
O43837,1,1
O43847,1,1
O43852,1,1
O43865,1,1
O43866,1,1
O43897,1,1
O43920,1,1
O60229,1,1
O60234,1,1
O60240,1,1
O60256,1,1
O60268,1,1
O60271,1,1
O60279,1,1
O60313,1,1
O60331,1,1
O60462,1,1
O60476,1,1
O60488,1,1
O60493,1,1
O60496,1,1
O60506,1,1
O60524,1,1
O60568,1,1
O60610,1,1
O60613,1,1
O60645,1,1
O60664,1,1
O60669,1,1
O60674,1,1
O60678,1,1
O60684,1,1
O60687,1,1
O60701,1,1
O60704,1,1
O60716,1,1
O60739,1,1
O60749,1,1
O60762,1,1
O60763,1,1
O60784,1,1
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,1,1
O60841,1,1
O60844,1,1
O60884,1,1
O60888,1,1
O60890,1,1
O60927,1,1
O60936,1,1
O75069,1,1
O75071,1,1
O75083,1,1
O75095,1,1
O75116,1,1
O75122,1,1
O75131,1,1
O75154,1,1
O75165,1,1
O75167,1,1
O75170,1,1
O75190,1,1
O75251,1,1
O75298,1,1
O75306,1,1
O75309,1,1
O75339,1,1
O75340,1,1
O75347,1,1
O75348,1,1
O75351,1,1
O75352,1,1
O75367,1,1
O75368,1,1
O75380,1,1
O75381,1,1
O75390,1,1
O75396,1,1
O75410,1,1
O75487,1,1
O75489,1,1
O75521,1,1
O75531,1,1
O75558,1,1
O75563,1,1
O75581,1,1
O75592,1,1
O75594,1,1
O75608,1,1
O75636,1,1
O75663,1,1
O75688,1,1
O75695,1,1
O75718,1,1
O75746,1,1
O75752,1,1
O75787,1,1
O75791,1,1
O75821,1,1
O75822,1,1
O75832,1,1
O75844,1,1
O75874,1,1
O75882,1,1
O75915,1,1
O75935,1,1
O75937,1,1
O75947,1,1
O75954,1,1
O75955,1,1
O75964,1,1
O75995,1,1
O76003,1,1
O76061,1,0
O76071,1,1
O76074,1,1
O76076,1,1
O94769,1,1
O94804,1,1
O94826,1,1
O94855,1,1
O94874,1,1
O94886,1,1
O94905,1,1
O94915,1,1
O94919,1,1
O94923,1,1
O94925,1,1
O94929,1,1
O94973,1,1
O94979,1,1
O94985,1,1
O94992,1,1
O95140,1,1
O95154,1,1
O95159,1,1
O95168,1,1
O95169,1,1
O95197,1,1
O95202,1,1
O95219,1,1
O95260,1,1
O95292,1,1
O95299,1,1
O95319,1,1
O95336,1,1
O95340,1,1
O95352,1,1
O95372,1,1
O95373,1,1
O95376,1,1
O95393,1,1
O95428,1,1
O95433,1,1
O95445,1,1
O95466,1,1
O95497,1,1
O95563,1,1
O95571,1,1
O95573,1,1
O95633,1,1
O95671,1,1
O95674,1,1
O95721,1,1
O95747,1,1
O95757,1,1
O95782,1,1
O95793,1,0
O95810,1,1
O95816,1,1
O95819,1,1
O95822,1,1
O95825,1,1
O95831,1,1
O95834,1,1
O95858,1,1
O95866,1,1
O95870,1,1
O95881,1,1
O95965,1,1
O95967,1,1
O95989,1,1
O96000,1,1
O96008,1,1
O96009,1,1
O96011,1,1
P00167,1,1
P00325,1,1
P00338,1,1
P00352,1,1
P00367,1,1
P00387,1,1
P00390,1,1
P00395,1,1
P00403,1,1
P00441,1,1
P00450,1,1
P00451,1,1
P00488,1,1
P00491,1,1
P00492,1,1
P00505,1,1
P00558,1,1
P00568,1,1
P00734,1,1
P00736,1,1
P00738,1,1
P00739,1,1
P00740,1,1
P00742,1,1
