R.Condition,PG.ProteinGroups,peptide_count,present_replicate_count,replicate_total_count,present_replicate_percentage
cancer,A0A075B6J6,3,2,20,10
cancer,A0A075B6J9,3,14,20,70
cancer,A0A075B6K0,3,8,20,40
cancer,A0A075B6K5,3,20,20,100
cancer,A0A075B6P5;P01615,2,20,20,100
cancer,A0A075B6Q5,4,20,20,100
cancer,A0A075B6R9;A0A0C4DH68,3,20,20,100
cancer,A0A075B6S2,5,17,20,85
cancer,A0A075B6S5,2,16,20,80
cancer,A0A087WW87;P01614,4,20,20,100
cancer,A0A0A0MS15,3,20,20,100
cancer,A0A0B4J1U7,2,13,20,65
cancer,A0A0B4J1V0,3,20,20,100
cancer,A0A0B4J1V2,3,11,20,55.00000000000001
cancer,A0A0B4J1V6,4,17,20,85
cancer,A0A0B4J1X5,2,17,20,85
cancer,A0A0B4J1X8,2,18,20,90
cancer,A0A0B4J1Y9,4,20,20,100
cancer,A0A0B4J2D5;P0DPI2,11,20,20,100
cancer,A0A0C4DH24,3,4,20,20
cancer,A0A0C4DH29,2,2,20,10
cancer,A0A0C4DH31,2,8,20,40
cancer,A0A0C4DH33,3,20,20,100
cancer,A0A0C4DH38,4,20,20,100
cancer,A0A0C4DH67,3,20,20,100
cancer,A0A0G2JMI3,3,12,20,60
cancer,A0A0G2JS06,2,4,20,20
cancer,A0A0J9YX35,3,18,20,90
cancer,A0A0U1RRL7,2,3,20,15
cancer,A0A1B0GTC6,3,18,20,90
cancer,A0AVT1,13,15,20,75
cancer,A0FGR8,29,18,20,90
cancer,A1A4S6,12,13,20,65
cancer,A1L0T0,12,14,20,70
cancer,A1L3X0,3,12,20,60
cancer,A1L4H1,18,20,20,100
cancer,A1X283,10,14,20,70
cancer,A2RRP1,16,17,20,85
cancer,A2RTX5,5,7,20,35
cancer,A2RUS2,31,19,20,95
cancer,A4D1B5,11,13,20,65
cancer,A4D1P6,5,12,20,60
cancer,A5YKK6,17,16,20,80
cancer,A6H8Y1,2,9,20,45
cancer,A6NDG6,10,20,20,100
cancer,A6NDU8,6,13,20,65
cancer,A6NGU5;P19440;P36268,3,16,20,80
cancer,A6NH11,3,5,20,25
cancer,A6NI72,5,9,20,45
cancer,A6NIH7,5,15,20,75
cancer,A6QL63,10,8,20,40
cancer,A7E2V4,5,9,20,45
cancer,A9UHW6,2,5,20,25
cancer,B0I1T2,23,20,20,100
cancer,B5ME19;Q99613,21,20,20,100
cancer,C4AMC7;Q6VEQ5,6,13,20,65
cancer,E9PAV3;Q13765,4,20,20,100
cancer,E9PB15,3,11,20,55.00000000000001
cancer,L0R6Q1,3,12,20,60
cancer,O00116,16,17,20,85
cancer,O00139,27,20,20,100
cancer,O00151,16,20,20,100
cancer,O00154,8,19,20,95
cancer,O00159,29,20,20,100
cancer,O00161,14,20,20,100
cancer,O00170,8,12,20,60
cancer,O00178,10,17,20,85
cancer,O00186,18,20,20,100
cancer,O00187,32,20,20,100
cancer,O00194,9,20,20,100
cancer,O00203,27,20,20,100
cancer,O00214,4,7,20,35
cancer,O00217,2,6,20,30
cancer,O00231,13,19,20,95
cancer,O00232,13,18,20,90
cancer,O00233,5,18,20,90
cancer,O00244,2,13,20,65
cancer,O00258,2,2,20,10
cancer,O00264,9,20,20,100
cancer,O00299,15,20,20,100
cancer,O00303,10,18,20,90
cancer,O00339,4,16,20,80
cancer,O00391,21,20,20,100
cancer,O00400,3,7,20,35
cancer,O00410,36,20,20,100
cancer,O00421,2,5,20,25
cancer,O00429,36,20,20,100
cancer,O00442,9,18,20,90
cancer,O00451,2,13,20,65
cancer,O00453,3,16,20,80
cancer,O00461,18,20,20,100
cancer,O00468,45,20,20,100
cancer,O00469,3,7,20,35
