R.FileName,R.Condition,R.Replicate,distinct_ions,distinct_modified_peptides,distinct_peptides,distinct_proteins,ion_ID_outlier
XTT001_EVOSE...0_S3-H7_1_1609,cancer,1,48316,41503,38828,4147,no
XTT001_EVOSE...7_S3-A2_1_1616,cancer,2,31655,27372,25619,3657,no
XTT001_EVOSE...2_S3-D2_1_1621,cancer,3,41134,35527,33322,4029,no
XTT001_EVOSE...9_S3-F2_1_1632,cancer,4,22616,19594,18285,3048,yes
XTT001_EVOSE...4_S3-C2_1_1637,cancer,5,19926,17148,15979,2744,yes
XTT001_EVOSE...1_S3-H2_1_1644,cancer,6,29813,25813,24220,3543,no
XTT001_EVOSE...6_S3-B7_1_1649,cancer,7,47430,40806,38164,4107,no
XTT001_EVOSE...3_S3-F7_1_1656,cancer,8,33227,28723,26971,3732,no
XTT001_EVOSE...8_S3-G2_1_1661,cancer,9,36861,32012,30052,3936,no
XTT001_EVOSE...5_S3-D7_1_1668,cancer,10,25000,21572,20220,3227,yes
XTT001_EVOSE...0_S3-A7_1_1673,cancer,11,30503,26363,24678,3584,no
XTT001_EVOSE...7_S3-B2_1_1680,cancer,12,23948,20755,19371,3130,yes
XTT001_EVOSE...2_S3-C7_1_1685,cancer,13,29095,25285,23643,3467,no
XTT001_EVOSE...9_S3-E2_1_1692,cancer,14,43348,37425,34931,4081,no
XTT001_EVOSE...4_S3-E7_1_1697,cancer,15,38159,33014,30887,3980,no
XTT001_EVOSE...5_S3-G7_1_1604,cancer,16,18823,16065,15020,2573,yes
XTT001_EVOSE...7_S3-A2_1_1759,cancer,17,29171,25309,23648,3625,no
XTT001_EVOSE...2_S3-D2_1_1764,cancer,18,46749,40265,37647,4131,no
XTT001_EVOSE...4_S3-C2_1_1776,cancer,19,38873,33639,31503,3974,no
XTT001_EVOSE...7_S3-B2_1_1819,cancer,20,37297,32320,30202,3941,no
XTT001_EVOSE...9_S3-F2_1_1771,control,1,38390,33170,30990,3936,no
XTT001_EVOSE...1_S3-H2_1_1783,control,2,45960,39668,37073,4113,no
XTT001_EVOSE...6_S3-B7_1_1788,control,3,31375,27188,25406,3662,no
XTT001_EVOSE...3_S3-F7_1_1795,control,4,38680,33503,31379,3987,no
XTT001_EVOSE...8_S3-G2_1_1800,control,5,39792,34450,32199,3999,no
XTT001_EVOSE...5_S3-D7_1_1807,control,6,42789,36986,34639,4055,no
XTT001_EVOSE...0_S3-A7_1_1812,control,7,18671,16014,14887,2564,yes
XTT001_EVOSE...2_S3-C7_1_1824,control,8,38656,33468,31324,3980,no
XTT001_EVOSE...9_S3-E2_1_1831,control,9,43549,37631,35150,4073,no
XTT001_EVOSE...4_S3-E7_1_1836,control,10,37872,32784,30655,3933,no
XTT001_EVOSE...5_S3-G7_1_1747,control,11,38306,33177,31164,3963,no
XTT001_EVOSE...0_S3-H7_1_1752,control,12,25641,22257,20865,3334,yes
XTT001_EVOSE...9_S3-D2_1_1863,control,13,44212,38272,35981,4081,no
XTT001_EVOSE...1_S3-A2_1_1868,control,14,40071,34774,32792,3998,no
XTT001_EVOSE...6_S3-C2_1_1875,control,15,40399,35121,33090,4009,no
XTT001_EVOSE...3_S3-G2_1_1880,control,16,46564,40121,37661,4087,no
XTT001_EVOSE...8_S3-E2_1_1890,control,17,47826,41236,38684,4120,no
XTT001_EVOSE...0_S3-F2_1_1895,control,18,33972,29542,27797,3714,no
XTT001_EVOSE...7_S3-H2_1_1902,control,19,47578,41024,38476,4134,no
XTT001_EVOSE...4_S3-B2_1_1907,control,20,48060,41411,38839,4119,no
