R.FileName,R.FileName_raw,R.Condition,R.Replicate
XTT001_EVOSE...0_S3-H7_1_1609,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0020_S3-H7_1_1609,cancer,1
XTT001_EVOSE...7_S3-A2_1_1616,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0027_S3-A2_1_1616,cancer,2
XTT001_EVOSE...2_S3-D2_1_1621,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0032_S3-D2_1_1621,cancer,3
XTT001_EVOSE...9_S3-F2_1_1632,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0039_S3-F2_1_1632,cancer,4
XTT001_EVOSE...4_S3-C2_1_1637,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0044_S3-C2_1_1637,cancer,5
XTT001_EVOSE...1_S3-H2_1_1644,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0051_S3-H2_1_1644,cancer,6
XTT001_EVOSE...6_S3-B7_1_1649,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0056_S3-B7_1_1649,cancer,7
XTT001_EVOSE...3_S3-F7_1_1656,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0063_S3-F7_1_1656,cancer,8
XTT001_EVOSE...8_S3-G2_1_1661,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0068_S3-G2_1_1661,cancer,9
XTT001_EVOSE...5_S3-D7_1_1668,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0075_S3-D7_1_1668,cancer,10
XTT001_EVOSE...0_S3-A7_1_1673,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0080_S3-A7_1_1673,cancer,11
XTT001_EVOSE...7_S3-B2_1_1680,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0087_S3-B2_1_1680,cancer,12
XTT001_EVOSE...2_S3-C7_1_1685,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0092_S3-C7_1_1685,cancer,13
XTT001_EVOSE...9_S3-E2_1_1692,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0099_S3-E2_1_1692,cancer,14
XTT001_EVOSE...4_S3-E7_1_1697,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_0104_S3-E7_1_1697,cancer,15
XTT001_EVOSE...5_S3-G7_1_1604,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE002_RERUN_0015_S3-G7_1_1604,cancer,16
XTT001_EVOSE...7_S3-A2_1_1759,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0027_S3-A2_1_1759,cancer,17
XTT001_EVOSE...2_S3-D2_1_1764,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0032_S3-D2_1_1764,cancer,18
XTT001_EVOSE...4_S3-C2_1_1776,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0044_S3-C2_1_1776,cancer,19
XTT001_EVOSE...7_S3-B2_1_1819,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0087_S3-B2_1_1819,cancer,20
XTT001_EVOSE...9_S3-F2_1_1771,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0039_S3-F2_1_1771,control,1
XTT001_EVOSE...1_S3-H2_1_1783,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0051_S3-H2_1_1783,control,2
XTT001_EVOSE...6_S3-B7_1_1788,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0056_S3-B7_1_1788,control,3
XTT001_EVOSE...3_S3-F7_1_1795,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0063_S3-F7_1_1795,control,4
XTT001_EVOSE...8_S3-G2_1_1800,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0068_S3-G2_1_1800,control,5
XTT001_EVOSE...5_S3-D7_1_1807,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0075_S3-D7_1_1807,control,6
XTT001_EVOSE...0_S3-A7_1_1812,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0080_S3-A7_1_1812,control,7
XTT001_EVOSE...2_S3-C7_1_1824,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0092_S3-C7_1_1824,control,8
XTT001_EVOSE...9_S3-E2_1_1831,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0099_S3-E2_1_1831,control,9
XTT001_EVOSE...4_S3-E7_1_1836,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_0104_S3-E7_1_1836,control,10
XTT001_EVOSE...5_S3-G7_1_1747,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_RERUN_0015_S3-G7_1_1747,control,11
XTT001_EVOSE...0_S3-H7_1_1752,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE003_RERUN_0020_S3-H7_1_1752,control,12
XTT001_EVOSE...9_S3-D2_1_1863,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0039_S3-D2_1_1863,control,13
XTT001_EVOSE...1_S3-A2_1_1868,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0051_S3-A2_1_1868,control,14
XTT001_EVOSE...6_S3-C2_1_1875,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0056_S3-C2_1_1875,control,15
XTT001_EVOSE...3_S3-G2_1_1880,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0063_S3-G2_1_1880,control,16
XTT001_EVOSE...8_S3-E2_1_1890,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0068_S3-E2_1_1890,control,17
XTT001_EVOSE...0_S3-F2_1_1895,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0080_S3-F2_1_1895,control,18
XTT001_EVOSE...7_S3-H2_1_1902,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0087_S3-H2_1_1902,control,19
XTT001_EVOSE...4_S3-B2_1_1907,XTT001_EVOSEP04_TIMS04_HT_PRO_PLATE004_0104_S3-B2_1_1907,control,20
