R.FileName,R.Condition,R.Replicate,<0.01,>0.01
XTT001_EVOSE...0_S3-H7_1_1609,cancer,1,48317,4187
XTT001_EVOSE...7_S3-A2_1_1616,cancer,2,31656,20848
XTT001_EVOSE...2_S3-D2_1_1621,cancer,3,41134,11369
XTT001_EVOSE...9_S3-F2_1_1632,cancer,4,22616,29887
XTT001_EVOSE...4_S3-C2_1_1637,cancer,5,19926,32577
XTT001_EVOSE...1_S3-H2_1_1644,cancer,6,29813,22690
XTT001_EVOSE...6_S3-B7_1_1649,cancer,7,47431,5073
XTT001_EVOSE...3_S3-F7_1_1656,cancer,8,33227,19276
XTT001_EVOSE...8_S3-G2_1_1661,cancer,9,36861,15642
XTT001_EVOSE...5_S3-D7_1_1668,cancer,10,25000,27503
XTT001_EVOSE...0_S3-A7_1_1673,cancer,11,30503,22000
XTT001_EVOSE...7_S3-B2_1_1680,cancer,12,23948,28555
XTT001_EVOSE...2_S3-C7_1_1685,cancer,13,29095,23408
XTT001_EVOSE...9_S3-E2_1_1692,cancer,14,43348,9155
XTT001_EVOSE...4_S3-E7_1_1697,cancer,15,38160,14344
XTT001_EVOSE...5_S3-G7_1_1604,cancer,16,18824,33680
XTT001_EVOSE...7_S3-A2_1_1759,cancer,17,29171,23332
XTT001_EVOSE...2_S3-D2_1_1764,cancer,18,46749,5754
XTT001_EVOSE...4_S3-C2_1_1776,cancer,19,38873,13630
XTT001_EVOSE...7_S3-B2_1_1819,cancer,20,37297,15206
XTT001_EVOSE...9_S3-F2_1_1771,control,1,38390,14113
XTT001_EVOSE...1_S3-H2_1_1783,control,2,45961,6543
XTT001_EVOSE...6_S3-B7_1_1788,control,3,31375,21128
XTT001_EVOSE...3_S3-F7_1_1795,control,4,38681,13823
XTT001_EVOSE...8_S3-G2_1_1800,control,5,39793,12711
XTT001_EVOSE...5_S3-D7_1_1807,control,6,42789,9714
XTT001_EVOSE...0_S3-A7_1_1812,control,7,18672,33832
XTT001_EVOSE...2_S3-C7_1_1824,control,8,38656,13847
XTT001_EVOSE...9_S3-E2_1_1831,control,9,43549,8954
XTT001_EVOSE...4_S3-E7_1_1836,control,10,37872,14631
XTT001_EVOSE...5_S3-G7_1_1747,control,11,38307,14197
XTT001_EVOSE...0_S3-H7_1_1752,control,12,25642,26862
XTT001_EVOSE...9_S3-D2_1_1863,control,13,44212,8291
XTT001_EVOSE...1_S3-A2_1_1868,control,14,40071,12432
XTT001_EVOSE...6_S3-C2_1_1875,control,15,40400,12104
XTT001_EVOSE...3_S3-G2_1_1880,control,16,46564,5939
XTT001_EVOSE...8_S3-E2_1_1890,control,17,47826,4677
XTT001_EVOSE...0_S3-F2_1_1895,control,18,33973,18531
XTT001_EVOSE...7_S3-H2_1_1902,control,19,47578,4925
XTT001_EVOSE...4_S3-B2_1_1907,control,20,48060,4443
