R.FileName,R.Condition,MC_0,MC_1,MC_2,total_peptide_count,MC_peptide_count,MC_percentage
XTT001_EVOSE...0_S3-H7_1_1609,cancer,32695,5735,398,38828,6133,15.795302359122282
XTT001_EVOSE...7_S3-A2_1_1616,cancer,21643,3688,288,25619,3976,15.51973144931496
XTT001_EVOSE...2_S3-D2_1_1621,cancer,28215,4751,356,33322,5107,15.326210911709982
XTT001_EVOSE...9_S3-F2_1_1632,cancer,15425,2621,239,18285,2860,15.641235985780694
XTT001_EVOSE...4_S3-C2_1_1637,cancer,13329,2441,209,15979,2650,16.58426685024094
XTT001_EVOSE...1_S3-H2_1_1644,cancer,20307,3626,287,24220,3913,16.156069364161848
XTT001_EVOSE...6_S3-B7_1_1649,cancer,32176,5601,387,38164,5988,15.690179226496173
XTT001_EVOSE...3_S3-F7_1_1656,cancer,22807,3857,307,26971,4164,15.438804642022912
XTT001_EVOSE...8_S3-G2_1_1661,cancer,25682,4056,314,30052,4370,14.541461466790896
XTT001_EVOSE...5_S3-D7_1_1668,cancer,17064,2910,246,20220,3156,15.608308605341245
XTT001_EVOSE...0_S3-A7_1_1673,cancer,20847,3542,289,24678,3831,15.52394845611476
XTT001_EVOSE...7_S3-B2_1_1680,cancer,16348,2779,244,19371,3023,15.605802488255641
XTT001_EVOSE...2_S3-C7_1_1685,cancer,19821,3530,292,23643,3822,16.16546123588377
XTT001_EVOSE...9_S3-E2_1_1692,cancer,29716,4865,350,34931,5215,14.929432309409979
XTT001_EVOSE...4_S3-E7_1_1697,cancer,26151,4404,332,30887,4736,15.333311749279632
XTT001_EVOSE...5_S3-G7_1_1604,cancer,12496,2318,206,15020,2524,16.80426098535286
XTT001_EVOSE...7_S3-A2_1_1759,cancer,19988,3386,274,23648,3660,15.476995940460082
XTT001_EVOSE...2_S3-D2_1_1764,cancer,31873,5391,383,37647,5774,15.337211464392913
XTT001_EVOSE...4_S3-C2_1_1776,cancer,26642,4523,338,31503,4861,15.430276481604926
XTT001_EVOSE...7_S3-B2_1_1819,cancer,25512,4353,337,30202,4690,15.528772928945104
XTT001_EVOSE...9_S3-F2_1_1771,control,26232,4424,334,30990,4758,15.353339787028073
XTT001_EVOSE...1_S3-H2_1_1783,control,31422,5277,374,37073,5651,15.242899144930272
XTT001_EVOSE...6_S3-B7_1_1788,control,21156,3931,319,25406,4250,16.728331890104702
XTT001_EVOSE...3_S3-F7_1_1795,control,26363,4656,360,31379,5016,15.985213040568533
XTT001_EVOSE...8_S3-G2_1_1800,control,27205,4636,358,32199,4994,15.50979844094537
XTT001_EVOSE...5_S3-D7_1_1807,control,29164,5105,370,34639,5475,15.80588354167268
XTT001_EVOSE...0_S3-A7_1_1812,control,12281,2381,225,14887,2606,17.50520588432861
XTT001_EVOSE...2_S3-C7_1_1824,control,26361,4617,346,31324,4963,15.844081215681266
XTT001_EVOSE...9_S3-E2_1_1831,control,29767,5019,364,35150,5383,15.314366998577524
XTT001_EVOSE...4_S3-E7_1_1836,control,25743,4571,341,30655,4912,16.023487196215953
XTT001_EVOSE...5_S3-G7_1_1747,control,26304,4519,341,31164,4860,15.594917212167886
XTT001_EVOSE...0_S3-H7_1_1752,control,17492,3098,275,20865,3373,16.165827941528875
XTT001_EVOSE...9_S3-D2_1_1863,control,30332,5264,385,35981,5649,15.699952752841778
XTT001_EVOSE...1_S3-A2_1_1868,control,27724,4713,355,32792,5068,15.454989021712612
XTT001_EVOSE...6_S3-C2_1_1875,control,27967,4768,355,33090,5123,15.482018736778484
XTT001_EVOSE...3_S3-G2_1_1880,control,31829,5450,382,37661,5832,15.485515520033989
XTT001_EVOSE...8_S3-E2_1_1890,control,32664,5637,383,38684,6020,15.561989453003827
XTT001_EVOSE...0_S3-F2_1_1895,control,23447,4028,322,27797,4350,15.649170773824514
XTT001_EVOSE...7_S3-H2_1_1902,control,32539,5557,380,38476,5937,15.43039817028797
XTT001_EVOSE...4_S3-B2_1_1907,control,32776,5673,390,38839,6063,15.610597595200701
