R.FileName,R.Condition,R.Replicate,protein_count,number_of_peptides
XTT001_EVOSE...0_S3-H7_1_1609,cancer,1,383,< 2
XTT001_EVOSE...7_S3-A2_1_1616,cancer,2,383,< 2
XTT001_EVOSE...2_S3-D2_1_1621,cancer,3,383,< 2
XTT001_EVOSE...9_S3-F2_1_1632,cancer,4,383,< 2
XTT001_EVOSE...4_S3-C2_1_1637,cancer,5,383,< 2
XTT001_EVOSE...1_S3-H2_1_1644,cancer,6,383,< 2
XTT001_EVOSE...6_S3-B7_1_1649,cancer,7,383,< 2
XTT001_EVOSE...3_S3-F7_1_1656,cancer,8,383,< 2
XTT001_EVOSE...8_S3-G2_1_1661,cancer,9,383,< 2
XTT001_EVOSE...5_S3-D7_1_1668,cancer,10,383,< 2
XTT001_EVOSE...0_S3-A7_1_1673,cancer,11,383,< 2
XTT001_EVOSE...7_S3-B2_1_1680,cancer,12,383,< 2
XTT001_EVOSE...2_S3-C7_1_1685,cancer,13,383,< 2
XTT001_EVOSE...9_S3-E2_1_1692,cancer,14,383,< 2
XTT001_EVOSE...4_S3-E7_1_1697,cancer,15,383,< 2
XTT001_EVOSE...5_S3-G7_1_1604,cancer,16,383,< 2
XTT001_EVOSE...7_S3-A2_1_1759,cancer,17,383,< 2
XTT001_EVOSE...2_S3-D2_1_1764,cancer,18,383,< 2
XTT001_EVOSE...4_S3-C2_1_1776,cancer,19,383,< 2
XTT001_EVOSE...7_S3-B2_1_1819,cancer,20,383,< 2
XTT001_EVOSE...9_S3-F2_1_1771,control,1,383,< 2
XTT001_EVOSE...1_S3-H2_1_1783,control,2,383,< 2
XTT001_EVOSE...6_S3-B7_1_1788,control,3,383,< 2
XTT001_EVOSE...3_S3-F7_1_1795,control,4,383,< 2
XTT001_EVOSE...8_S3-G2_1_1800,control,5,383,< 2
XTT001_EVOSE...5_S3-D7_1_1807,control,6,383,< 2
XTT001_EVOSE...0_S3-A7_1_1812,control,7,383,< 2
XTT001_EVOSE...2_S3-C7_1_1824,control,8,383,< 2
XTT001_EVOSE...9_S3-E2_1_1831,control,9,383,< 2
XTT001_EVOSE...4_S3-E7_1_1836,control,10,383,< 2
XTT001_EVOSE...5_S3-G7_1_1747,control,11,383,< 2
XTT001_EVOSE...0_S3-H7_1_1752,control,12,383,< 2
XTT001_EVOSE...9_S3-D2_1_1863,control,13,383,< 2
XTT001_EVOSE...1_S3-A2_1_1868,control,14,383,< 2
XTT001_EVOSE...6_S3-C2_1_1875,control,15,383,< 2
XTT001_EVOSE...3_S3-G2_1_1880,control,16,383,< 2
XTT001_EVOSE...8_S3-E2_1_1890,control,17,383,< 2
XTT001_EVOSE...0_S3-F2_1_1895,control,18,383,< 2
XTT001_EVOSE...7_S3-H2_1_1902,control,19,383,< 2
XTT001_EVOSE...4_S3-B2_1_1907,control,20,383,< 2
XTT001_EVOSE...0_S3-H7_1_1609,cancer,1,3817,>= 2
XTT001_EVOSE...7_S3-A2_1_1616,cancer,2,3817,>= 2
XTT001_EVOSE...2_S3-D2_1_1621,cancer,3,3817,>= 2
XTT001_EVOSE...9_S3-F2_1_1632,cancer,4,3817,>= 2
XTT001_EVOSE...4_S3-C2_1_1637,cancer,5,3817,>= 2
XTT001_EVOSE...1_S3-H2_1_1644,cancer,6,3817,>= 2
XTT001_EVOSE...6_S3-B7_1_1649,cancer,7,3817,>= 2
XTT001_EVOSE...3_S3-F7_1_1656,cancer,8,3817,>= 2
XTT001_EVOSE...8_S3-G2_1_1661,cancer,9,3817,>= 2
XTT001_EVOSE...5_S3-D7_1_1668,cancer,10,3817,>= 2
XTT001_EVOSE...0_S3-A7_1_1673,cancer,11,3817,>= 2
XTT001_EVOSE...7_S3-B2_1_1680,cancer,12,3817,>= 2
XTT001_EVOSE...2_S3-C7_1_1685,cancer,13,3817,>= 2
XTT001_EVOSE...9_S3-E2_1_1692,cancer,14,3817,>= 2
XTT001_EVOSE...4_S3-E7_1_1697,cancer,15,3817,>= 2
XTT001_EVOSE...5_S3-G7_1_1604,cancer,16,3817,>= 2
XTT001_EVOSE...7_S3-A2_1_1759,cancer,17,3817,>= 2
XTT001_EVOSE...2_S3-D2_1_1764,cancer,18,3817,>= 2
XTT001_EVOSE...4_S3-C2_1_1776,cancer,19,3817,>= 2
XTT001_EVOSE...7_S3-B2_1_1819,cancer,20,3817,>= 2
XTT001_EVOSE...9_S3-F2_1_1771,control,1,3817,>= 2
XTT001_EVOSE...1_S3-H2_1_1783,control,2,3817,>= 2
XTT001_EVOSE...6_S3-B7_1_1788,control,3,3817,>= 2
XTT001_EVOSE...3_S3-F7_1_1795,control,4,3817,>= 2
XTT001_EVOSE...8_S3-G2_1_1800,control,5,3817,>= 2
XTT001_EVOSE...5_S3-D7_1_1807,control,6,3817,>= 2
XTT001_EVOSE...0_S3-A7_1_1812,control,7,3817,>= 2
XTT001_EVOSE...2_S3-C7_1_1824,control,8,3817,>= 2
XTT001_EVOSE...9_S3-E2_1_1831,control,9,3817,>= 2
XTT001_EVOSE...4_S3-E7_1_1836,control,10,3817,>= 2
XTT001_EVOSE...5_S3-G7_1_1747,control,11,3817,>= 2
XTT001_EVOSE...0_S3-H7_1_1752,control,12,3817,>= 2
XTT001_EVOSE...9_S3-D2_1_1863,control,13,3817,>= 2
XTT001_EVOSE...1_S3-A2_1_1868,control,14,3817,>= 2
XTT001_EVOSE...6_S3-C2_1_1875,control,15,3817,>= 2
XTT001_EVOSE...3_S3-G2_1_1880,control,16,3817,>= 2
XTT001_EVOSE...8_S3-E2_1_1890,control,17,3817,>= 2
XTT001_EVOSE...0_S3-F2_1_1895,control,18,3817,>= 2
XTT001_EVOSE...7_S3-H2_1_1902,control,19,3817,>= 2
XTT001_EVOSE...4_S3-B2_1_1907,control,20,3817,>= 2
