R.Condition,PG.ProteinGroups,replicate_count,replicate_count_total,replicate_percentage
cancer,A0A075B6J6,2,20,10
cancer,A0A075B6J9,14,20,70
cancer,A0A075B6K0,8,20,40
cancer,A0A075B6K5,20,20,100
cancer,A0A075B6P5;P01615,20,20,100
cancer,A0A075B6Q5,20,20,100
cancer,A0A075B6R9;A0A0C4DH68,20,20,100
cancer,A0A075B6S2,17,20,85
cancer,A0A075B6S5,16,20,80
cancer,A0A087WW87;P01614,20,20,100
cancer,A0A0A0MS15,20,20,100
cancer,A0A0B4J1U7,13,20,65
cancer,A0A0B4J1V0,20,20,100
cancer,A0A0B4J1V2,11,20,55.00000000000001
cancer,A0A0B4J1V6,17,20,85
cancer,A0A0B4J1X5,17,20,85
cancer,A0A0B4J1X8,18,20,90
cancer,A0A0B4J1Y9,20,20,100
cancer,A0A0B4J2D5;P0DPI2,20,20,100
cancer,A0A0C4DH24,4,20,20
cancer,A0A0C4DH29,2,20,10
cancer,A0A0C4DH31,8,20,40
cancer,A0A0C4DH33,20,20,100
cancer,A0A0C4DH38,20,20,100
cancer,A0A0C4DH67,20,20,100
cancer,A0A0G2JMI3,12,20,60
cancer,A0A0G2JS06,4,20,20
cancer,A0A0J9YX35,18,20,90
cancer,A0A0U1RRL7,3,20,15
cancer,A0A1B0GTC6,18,20,90
cancer,A0AVT1,15,20,75
cancer,A0FGR8,18,20,90
cancer,A1A4S6,13,20,65
cancer,A1L0T0,14,20,70
cancer,A1L3X0,12,20,60
cancer,A1L4H1,20,20,100
cancer,A1X283,14,20,70
cancer,A2RRP1,17,20,85
cancer,A2RTX5,7,20,35
cancer,A2RUS2,19,20,95
cancer,A4D1B5,13,20,65
cancer,A4D1P6,12,20,60
cancer,A5YKK6,16,20,80
cancer,A6H8Y1,9,20,45
cancer,A6NDG6,20,20,100
cancer,A6NDU8,13,20,65
cancer,A6NGU5;P19440;P36268,16,20,80
cancer,A6NH11,5,20,25
cancer,A6NI72,9,20,45
cancer,A6NIH7,15,20,75
cancer,A6QL63,8,20,40
cancer,A7E2V4,9,20,45
cancer,A9UHW6,5,20,25
cancer,B0I1T2,20,20,100
cancer,B5ME19;Q99613,20,20,100
cancer,C4AMC7;Q6VEQ5,13,20,65
cancer,E9PAV3;Q13765,20,20,100
cancer,E9PB15,11,20,55.00000000000001
cancer,L0R6Q1,12,20,60
cancer,O00116,17,20,85
cancer,O00139,20,20,100
cancer,O00151,20,20,100
cancer,O00154,19,20,95
cancer,O00159,20,20,100
cancer,O00161,20,20,100
cancer,O00170,12,20,60
cancer,O00178,17,20,85
cancer,O00186,20,20,100
cancer,O00187,20,20,100
cancer,O00194,20,20,100
cancer,O00203,20,20,100
cancer,O00214,7,20,35
cancer,O00217,6,20,30
cancer,O00231,19,20,95
cancer,O00232,18,20,90
cancer,O00233,18,20,90
cancer,O00244,13,20,65
cancer,O00258,2,20,10
cancer,O00264,20,20,100
cancer,O00299,20,20,100
cancer,O00303,18,20,90
cancer,O00339,16,20,80
cancer,O00391,20,20,100
cancer,O00400,7,20,35
cancer,O00410,20,20,100
cancer,O00421,5,20,25
cancer,O00429,20,20,100
cancer,O00442,18,20,90
cancer,O00451,13,20,65
cancer,O00453,16,20,80
cancer,O00461,20,20,100
cancer,O00468,20,20,100
cancer,O00469,7,20,35
cancer,O00471,19,20,95
cancer,O00483,18,20,90
cancer,O00487,14,20,70
cancer,O00501,18,20,90
cancer,O00505,18,20,90
cancer,O00506,17,20,85
