PG.ProteinGroups,cancer,control
A0A075B6J6,10,0
A0A075B6J9,70,80
A0A075B6K0,40,50
A0A075B6K5,100,100
A0A075B6P5;P01615,100,100
A0A075B6Q5,100,100
A0A075B6R9;A0A0C4DH68,100,95
A0A075B6S2,85,95
A0A075B6S5,80,75
A0A087WW87;P01614,100,100
A0A0A0MS15,100,100
A0A0B4J1U7,65,55.00000000000001
A0A0B4J1V0,100,100
A0A0B4J1V2,55.00000000000001,35
A0A0B4J1V6,85,90
A0A0B4J1X5,85,75
A0A0B4J1X8,90,85
A0A0B4J1Y9,100,100
A0A0B4J2D5;P0DPI2,100,100
A0A0C4DH24,20,20
A0A0C4DH29,10,35
A0A0C4DH31,40,5
A0A0C4DH33,100,100
A0A0C4DH38,100,100
A0A0C4DH67,100,100
A0A0G2JMI3,60,60
A0A0G2JS06,20,20
A0A0J9YX35,90,95
A0A0U1RRL7,15,15
A0A1B0GTC6,90,100
A0AVT1,75,95
A0FGR8,90,100
A1A4S6,65,95
A1L0T0,70,90
A1L3X0,60,70
A1L4H1,100,100
A1X283,70,70
A2RRP1,85,100
A2RTX5,35,50
A2RUS2,95,100
A4D1B5,65,95
A4D1P6,60,85
A5YKK6,80,95
A6H8Y1,45,75
A6NDG6,100,100
A6NDU8,65,95
A6NGU5;P19440;P36268,80,95
A6NH11,25,15
A6NI72,45,40
A6NIH7,75,90
A6QL63,40,80
A7E2V4,45,80
A9UHW6,25,40
B0I1T2,100,100
B5ME19;Q99613,100,100
C4AMC7;Q6VEQ5,65,85
E9PAV3;Q13765,100,100
E9PB15,55.00000000000001,75
L0R6Q1,60,90
O00116,85,95
O00139,100,100
O00151,100,100
O00154,95,95
O00159,100,100
O00161,100,100
O00170,60,95
O00178,85,95
O00186,100,100
O00187,100,100
O00194,100,100
O00203,100,100
O00214,35,50
O00217,30,45
O00231,95,95
O00232,90,95
O00233,90,100
O00244,65,100
O00258,10,20
O00264,100,100
O00299,100,100
O00303,90,95
O00339,80,80
O00391,100,100
O00400,35,75
O00410,100,100
O00421,25,65
O00429,100,100
O00442,90,95
O00451,65,55.00000000000001
O00453,80,85
O00461,100,100
O00468,100,100
O00469,35,50
O00471,95,95
O00483,90,95
O00487,70,90
O00501,90,100
O00505,90,95
O00506,85,100
O00522,60,85
O00534,90,95
O00560,100,100
O00571,100,100
O00584,15,40
O00585,100,100
O00592,35,85
O00602,100,100
O00629,90,95
O00743,100,100
O00754,45,80
O14498,30,50
O14521,10,30
O14523,75,90
O14530,95,95
O14545,55.00000000000001,80
O14548,50,60
O14561,95,100
O14579,100,100
O14594,100,100
O14602,100,100
O14617,100,95
O14618,80,95
O14639,55.00000000000001,90
O14653,30,65
O14656,85,95
O14662,65,90
O14672,100,100
O14730,50,80
O14734,80,95
O14735,70,95
O14737,100,100
O14744,85,100
O14745,100,100
O14773,100,100
O14775,85,100
O14786,100,100
O14787,90,100
O14791,100,100
O14818,100,100
O14828,70,95
O14874,65,80
O14880,80,95
O14920,60,95
O14949,15,40
O14960,100,100
O14964,45,85
O14974,100,100
O14975,55.00000000000001,75
O14976,85,90
O14979,95,95
O14980,95,95
O15013,65,90
O15027,50,90
O15031,95,100
O15067,70,90
O15084,90,100
O15111,85,95
O15116,30,20
O15117,100,100
O15126,65,95
O15127,90,100
O15143,100,100
O15144,100,100
O15145,100,95
O15155,35,90
O15162,55.00000000000001,75
O15173,100,95
O15194,90,90
O15204,100,100
O15211,40,70
O15212,65,90
O15228,60,80
O15230,100,100
O15231,95,95
O15240,100,100
O15258,20,55.00000000000001
O15260,80,90
O15269,55.00000000000001,90
O15270,55.00000000000001,70
O15305,90,90
O15321,25,20
O15327,85,95
O15335,100,100
O15347,25,15
O15354,80,80
O15357,85,95
O15371,100,100
O15372,90,95
O15382,10,25
O15400,100,100
O15427,85,100
