R.Condition,cumulative frequency,CV_cut,level,cumulative frequency proportion
cancer,13,0.01,peptide level,3.11377245508982e-4
control,30,0.01,peptide level,7.18562874251497e-4
cancer,16,0.02,peptide level,3.8323353293413174e-4
control,32,0.02,peptide level,7.664670658682635e-4
cancer,18,0.03,peptide level,4.311377245508982e-4
control,37,0.03,peptide level,8.862275449101797e-4
cancer,20,0.04,peptide level,4.7904191616766467e-4
control,38,0.04,peptide level,9.101796407185628e-4
cancer,22,0.05,peptide level,5.269461077844312e-4
control,38,0.05,peptide level,9.101796407185628e-4
cancer,25,0.06,peptide level,5.988023952095808e-4
control,40,0.06,peptide level,9.580838323353293e-4
cancer,30,0.07,peptide level,7.18562874251497e-4
control,42,0.07,peptide level,0.0010059880239520957
cancer,34,0.08,peptide level,8.1437125748503e-4
control,43,0.08,peptide level,0.0010299401197604791
control,1,0.08,protein level,2.3849272597185786e-4
cancer,37,0.09,peptide level,8.862275449101797e-4
control,43,0.09,peptide level,0.0010299401197604791
cancer,3,0.09,protein level,7.154781779155736e-4
control,10,0.09,protein level,0.0023849272597185785
cancer,40,0.1,peptide level,9.580838323353293e-4
control,44,0.1,peptide level,0.0010538922155688623
cancer,4,0.1,protein level,9.539709038874314e-4
control,12,0.1,protein level,0.0028619127116622945
cancer,41,0.11,peptide level,9.820359281437125e-4
control,44,0.11,peptide level,0.0010538922155688623
cancer,10,0.11,protein level,0.0023849272597185785
control,27,0.11,protein level,0.006439303601240162
cancer,43,0.12,peptide level,0.0010299401197604791
control,48,0.12,peptide level,0.0011497005988023953
cancer,24,0.12,protein level,0.005723825423324589
control,50,0.12,protein level,0.011924636298592892
cancer,45,0.13,peptide level,0.0010778443113772455
control,51,0.13,peptide level,0.0012215568862275449
cancer,39,0.13,protein level,0.009301216312902457
control,81,0.13,protein level,0.019317910803720487
cancer,47,0.14,peptide level,0.0011257485029940119
control,59,0.14,peptide level,0.0014131736526946108
cancer,71,0.14,protein level,0.016932983544001908
control,122,0.14,protein level,0.02909611256856666
cancer,48,0.15,peptide level,0.0011497005988023953
control,61,0.15,peptide level,0.0014610778443113772
cancer,107,0.15,protein level,0.02551872167898879
control,175,0.15,protein level,0.041736227045075125
cancer,52,0.16,peptide level,0.001245508982035928
control,67,0.16,peptide level,0.0016047904191616765
cancer,151,0.16,protein level,0.03601240162175054
control,246,0.16,protein level,0.05866921058907704
cancer,59,0.17,peptide level,0.0014131736526946108
control,81,0.17,peptide level,0.0019401197604790419
cancer,196,0.17,protein level,0.04674457429048414
control,313,0.17,protein level,0.07464822322919151
cancer,74,0.18,peptide level,0.0017724550898203593
control,104,0.18,peptide level,0.002491017964071856
cancer,260,0.18,protein level,0.06200810875268304
control,408,0.18,protein level,0.09730503219651801
cancer,81,0.19,peptide level,0.0019401197604790419
control,137,0.19,peptide level,0.003281437125748503
cancer,319,0.19,protein level,0.07607917958502265
control,497,0.19,protein level,0.11853088480801335
cancer,88,0.2,peptide level,0.0021077844311377246
control,183,0.2,peptide level,0.004383233532934132
cancer,388,0.2,protein level,0.09253517767708085
control,604,0.2,protein level,0.14404960648700216
cancer,116,0.21,peptide level,0.0027784431137724552
control,251,0.21,peptide level,0.0060119760479041915
cancer,458,0.21,protein level,0.1092296684951109
control,721,0.21,protein level,0.17195325542570952
cancer,148,0.22,peptide level,0.0035449101796407186
control,332,0.22,peptide level,0.007952095808383233
cancer,531,0.22,protein level,0.12663963749105653
control,812,0.22,protein level,0.19365609348914858
cancer,193,0.23,peptide level,0.004622754491017964
control,454,0.23,peptide level,0.010874251497005988
cancer,626,0.23,protein level,0.14929644645838303
