R.Condition,PG.ProteinGroups,mean_iBAQ_intensities,SD_iBAQ_intensities,CV_iBAQ_intensities,iBAQ_quantiles
cancer,A0A075B6H7,156.375,513.0525128298785,3.2809113530287997,Q9
cancer,A0A075B6H9,3.995,3.4027040330951657,0.8517406841289525,Q4
cancer,A0A075B6I0,36.305,51.19082437312374,1.4100213296549715,Q8
cancer,A0A075B6J1,0.125,0.4689012913744551,3.7512103309956406,Q1
cancer,A0A075B6J6,1.3250000000000002,4.70943901005987,3.5542935924980146,Q2
cancer,A0A075B6J9,42.175000000000004,54.32544111768978,1.2880958178468234,Q8
cancer,A0A075B6K0,32.805,25.90016206004978,0.7895187337311319,Q8
cancer,A0A075B6K4,20.19,31.148234722304725,1.542755558311279,Q7
cancer,A0A075B6K5,125.33,74.51772731511963,0.5945721480501047,Q9
cancer,A0A075B6P5;P01615,116.955,78.37202424469159,0.6701040934093591,Q9
cancer,A0A075B6Q5,69.64,57.770019542101046,0.829552262235799,Q9
cancer,A0A075B6R2,7.720000000000001,14.36914091121372,1.8612876827997045,Q5
cancer,A0A075B6R9;A0A0C4DH68,86.50999999999999,143.81211390304767,1.6623756086353911,Q9
cancer,A0A075B6S2,254.775,189.6765636967031,0.7444865614628716,Q10
cancer,A0A075B6S5,29.29,72.62776690987951,2.4796096589238483,Q7
cancer,A0A087WSX0,17.66,26.67250506262562,1.5103343750071132,Q7
cancer,A0A087WSY4,0.965,1.466565985380025,1.5197574978031347,Q2
cancer,A0A087WSY6,82.05,161.75451022752773,1.971413896740131,Q9
cancer,A0A087WW87;P01614,92.80499999999999,95.77537028188186,1.0320065759590742,Q9
cancer,A0A0A0MS15,64.515,57.879768986190136,0.8971521194480374,Q9
cancer,A0A0B4J1U3,6.355,5.051260916059006,0.7948482952099143,Q5
cancer,A0A0B4J1U7,16.7,10.02549381904899,0.6003289712005383,Q6
cancer,A0A0B4J1V0,153.87,447.41107919839635,2.9077213179852883,Q9
cancer,A0A0B4J1V2,31.245,61.084070410334775,1.9550030536192917,Q8
cancer,A0A0B4J1V6,71.58,94.52097288850487,1.3204941727927477,Q9
cancer,A0A0B4J1X5,8.275,7.8445337991696995,0.9479799153075165,Q5
