PG.ProteinGroups,XTT001_EVOSE...0_S3-H7_1_1609,XTT001_EVOSE...7_S3-A2_1_1616,XTT001_EVOSE...2_S3-D2_1_1621,XTT001_EVOSE...9_S3-F2_1_1632,XTT001_EVOSE...4_S3-C2_1_1637,XTT001_EVOSE...1_S3-H2_1_1644,XTT001_EVOSE...6_S3-B7_1_1649,XTT001_EVOSE...3_S3-F7_1_1656,XTT001_EVOSE...8_S3-G2_1_1661,XTT001_EVOSE...5_S3-D7_1_1668,XTT001_EVOSE...0_S3-A7_1_1673,XTT001_EVOSE...7_S3-B2_1_1680,XTT001_EVOSE...2_S3-C7_1_1685,XTT001_EVOSE...9_S3-E2_1_1692,XTT001_EVOSE...4_S3-E7_1_1697,XTT001_EVOSE...5_S3-G7_1_1604,XTT001_EVOSE...7_S3-A2_1_1759,XTT001_EVOSE...2_S3-D2_1_1764,XTT001_EVOSE...4_S3-C2_1_1776,XTT001_EVOSE...7_S3-B2_1_1819,XTT001_EVOSE...9_S3-F2_1_1771,XTT001_EVOSE...1_S3-H2_1_1783,XTT001_EVOSE...6_S3-B7_1_1788,XTT001_EVOSE...3_S3-F7_1_1795,XTT001_EVOSE...8_S3-G2_1_1800,XTT001_EVOSE...5_S3-D7_1_1807,XTT001_EVOSE...0_S3-A7_1_1812,XTT001_EVOSE...2_S3-C7_1_1824,XTT001_EVOSE...9_S3-E2_1_1831,XTT001_EVOSE...4_S3-E7_1_1836,XTT001_EVOSE...5_S3-G7_1_1747,XTT001_EVOSE...0_S3-H7_1_1752,XTT001_EVOSE...9_S3-D2_1_1863,XTT001_EVOSE...1_S3-A2_1_1868,XTT001_EVOSE...6_S3-C2_1_1875,XTT001_EVOSE...3_S3-G2_1_1880,XTT001_EVOSE...8_S3-E2_1_1890,XTT001_EVOSE...0_S3-F2_1_1895,XTT001_EVOSE...7_S3-H2_1_1902,XTT001_EVOSE...4_S3-B2_1_1907
A0A075B6H7,106,184,203,140,126,344,288,236,150,141,27,255,236,327,163,203,198,110,3,207,50,423,135,443,276,751,157,451,319,19,111,66,477,238,3,141,569,74,645,311
A0A075B6H9,2670,749,1153,828,1095,1387,3406,1137,876,739,1289,1760,854,3343,1060,674,778,1481,1724,956,924,1976,944,3618,1269,1931,1171,1698,2353,2046,1876,1547,2152,1062,1931,1749,2893,2285,1055,2565
A0A075B6I0,1075,382,430,259,581,927,1259,647,396,577,221,94,706,569,3147,360,365,1430,173,759,549,293,534,414,455,190,366,637,156,959,603,150,2210,1150,216,1034,1473,1390,524,3243
A0A075B6J1,4183,4178,3522,4156,4180,4153,3998,4160,3755,3926,4167,3826,3819,4168,4177,4158,4084,4178,3448,2303,3811,4146,4135,4176,4173,4153,4164,4005,2564,4085,3786,4054,4161,4180,4113,4180,3781,4032,4167,2583
A0A075B6J6,4129,3959,3954,2798,3847,3935,4122,3871,3805,3096,3289,3244,3890,4055,4025,3776,1261,4144,4136,4071,4065,4147,3888,4017,4093,4085,2606,4054,4060,3761,3811,3217,3981,3894,4041,4149,4073,3664,4028,4064
A0A075B6J9,2674,655,1199,988,589,952,983,483,596,979,891,1225,892,824,2772,497,1102,1869,544,1247,752,1541,296,951,973,678,440,696,2363,769,1722,211,1815,2322,1381,2164,2687,510,1399,1847
A0A075B6K0,1103,1273,1101,1586,603,1185,2070,686,467,1219,611,614,1496,1372,1477,1191,1496,1344,1355,972,204,3472,706,1624,1208,346,776,872,2197,1419,949,792,2685,1321,1988,711,1726,1407,2678,2552
A0A075B6K4,1252,70,2864,2187,1631,3238,630,745,314,1171,360,244,1264,1210,511,977,319,123,570,2041,83,2750,647,2973,1130,3793,1540,729,1433,356,1762,507,3547,572,1026,146,3787,1917,3496,157
A0A075B6K5,288,754,1222,421,281,603,523,192,341,145,214,147,385,170,306,1271,712,1210,383,260,552,442,334,419,1071,523,445,434,415,549,610,746,540,686,268,151,604,738,709,522
A0A075B6P5;P01615,508,170,425,302,219,447,1184,214,535,248,127,209,281,247,423,209,335,233,298,235,306,478,142,496,278,437,363,363,300,178,245,230,564,230,228,327,891,529,1093,760
