PG.ProteinGroups,cancer/control|signal_log2_ratio,cancer/control|raw_p_value,cancer/control|adjusted_p_value
A0A075B6J6,0.35917504053405525,0.13018820825247632,0.3785569744817151
A0A075B6J9,0.17599070519563936,0.699424849441847,1
A0A075B6K0,0.30045547567902986,0.21117045095199452,0.5324909675021575
A0A075B6K5,0.6169075691736592,0.010785859890087679,0.05252626076554894
A0A075B6P5;P01615,0.3541863937265283,0.21298702500063119,0.5335099286654473
A0A075B6Q5,0.685022645903754,0.001102684787238671,0.0076548962133969325
A0A075B6R9;A0A0C4DH68,0.26828735832256734,0.4190085162725461,0.8422352390847487
A0A075B6S2,0.09247076527393182,0.8939908041994522,1
A0A075B6S5,0.4694323927323064,0.0715406661956293,0.2374072564315137
A0A087WW87;P01614,-0.10755657941727859,0.8448843133218266,1
A0A0A0MS15,0.32391510857722405,0.23251726760972757,0.5668016074080059
A0A0B4J1U7,0.9713311662418145,0.02723877568652895,0.11122733834376035
A0A0B4J1V0,0.7805753550564416,9.80515314795239e-4,0.0069447647211764146
A0A0B4J1V2,0.28197972449736797,0.2645609951159059,0.6214589649977555
A0A0B4J1V6,0.4461845120833681,0.010850889057312484,0.05272048414520423
A0A0B4J1X5,0.15950796530810304,0.6448753021327198,1
A0A0B4J1X8,0.7997735133050095,0.003205099595181024,0.01903538612265444
A0A0B4J1Y9,0.27223296197644986,0.49489771050614906,0.9356490119198361
A0A0B4J2D5;P0DPI2,-0.11490585181982974,0.899185718472689,1
A0A0C4DH24,-0.04424716762148133,0.9524065487757327,1
A0A0C4DH31,0.8603729109662352,0.010644226501620805,0.052017764243934776
A0A0C4DH33,0.55652071856607,0.04478650422002878,0.1645428696104702
A0A0C4DH38,0.3366411990752336,0.4772587995197934,0.9215815185110884
A0A0C4DH67,0.2182905051496402,0.5026940961966275,0.9435559918384416
A0A0G2JMI3,0.5153650161589591,0.03823529012716751,0.14661627248834516
A0A0G2JS06,0.011676870330776301,0.9961446204017175,1
A0A0J9YX35,0.2741071004439653,0.26088532573105344,0.6166246735007369
A0A0U1RRL7,-0.03817440842679028,0.9321944807999896,1
A0A1B0GTC6,-0.0981042604417904,0.8179901283934008,1
A0AVT1,0.11061685298799126,0.9043593787454254,1
A0FGR8,-0.2654944058552064,0.025212111844962266,0.1046677078870562
A1A4S6,-0.00409561164342604,0.9999999969364965,1
A1L0T0,0.06779902971731877,0.9851602982051588,1
A1L3X0,0.07689494225047305,0.7698891647917074,1
A1L4H1,0.2142636128270482,0.19802565471691244,0.508463913183107
A1X283,-0.07363601744304704,0.9889791542528605,1
A2RRP1,-0.033178408249470076,0.9999703500647389,1
A2RTX5,-0.042011472297110324,0.9777615299360563,1
A2RUS2,-0.1367926311632055,0.7803089671786103,1
A4D1B5,-0.17721093037404975,0.8023406176338765,1
A4D1P6,-0.2941876792828013,0.17752940138263368,0.46904901071038624
A5YKK6,0.06442487258978832,0.9983764104908173,1
A6H8Y1,-0.007541695872257048,0.9930237696484683,1
A6NDG6,0.5368423469034107,2.288643855155881e-5,2.4111265539368364e-4
A6NDU8,0.05834495183767459,0.9580570920977243,1
A6NGU5;P19440;P36268,0.0372691749668242,0.9513137825532543,1
A6NH11,0.3447663110896236,0.0481546456140641,0.1743633289586629
A6NI72,-0.07023359962332337,0.9675004631020271,1
A6NIH7,0.07174482070674358,0.9198694027759245,1
A6QL63,0.20931937644837947,0.41715950060553975,0.8407569195004043
A7E2V4,0.5055498969359579,0.0020206324490166894,0.012994650090072052
A9UHW6,0.31615158514844033,0.31017367247074057,0.6873986303751666
B0I1T2,-0.1134675633239607,0.8990307385724625,1
B2RUZ4,-0.4838436614037246,0.07031633869169698,0.23436916385873247
B5ME19;Q99613,0.024408063160554272,0.9999997556074858,1
C4AMC7;Q6VEQ5,-0.030673470896005042,0.9961701255164314,1
E9PAV3;Q13765,0.14888010139772123,0.7880513099801416,1
E9PB15,-0.05768391840331758,0.9036800712661848,1
L0R6Q1,-0.3192780335027757,0.119131044455333,0.35451843108673614
O00116,-0.12023485863716074,0.9049775889157148,1
O00139,-0.5849868667845305,8.057092191705093e-12,2.5987221199861123e-10
O00151,-0.9502152883215831,3.784418634031443e-15,1.9351301624992488e-13
O00154,0.1343669316561804,0.7054375609548347,1
O00159,-0.11524763922189236,0.935703629975598,1
O00161,-0.7272914822383136,4.721929109557457e-10,1.1185903252188936e-8
O00170,-0.1930898608146233,0.5407275785199857,0.9832050029203381
O00178,-0.1904378687867829,0.26932365269567987,0.6280723446902035
O00186,-0.5523444384197567,1.3642540593344703e-8,2.56500942156829e-7
O00187,0.5798593049111749,7.924457320918126e-14,3.4254896439803817e-12
O00194,-0.8282075856711407,8.220715957013973e-9,1.5884544704036678e-7
O00203,-0.10938630255440801,0.9953727243560777,1
O00214,-0.08477094598881907,0.9458958986137588,1
O00217,0.2320774790217992,0.29709997951157635,0.6717120487642935
O00231,-0.381710682023999,0.011523422314084753,0.055481069109572206
O00232,-0.26528426228117413,0.07593971390718586,0.24818021856027306
O00233,-0.20387087043966468,0.1576775599837783,0.4338202158871276
O00244,-0.3019347386814498,0.35199797970117236,0.7461716526223537
O00258,-0.03345638028089881,0.9936679569934328,1
O00264,-0.1448159456507115,0.47831884071679603,0.9226209947170975
O00299,-0.28065933169154283,0.22961368115538722,0.5630234883535313
O00303,0.14511856067726492,0.7801055540196793,1
O00339,0.19917473595403862,0.74811661850309,1
O00391,0.2189575029122334,0.07665874101877473,0.24994564626105945
O00400,0.05698160760383609,0.9108027482936549,1
O00410,-0.24025634920325561,0.07986535871784489,0.258391550234509
O00421,-0.24366482080565768,0.40592556637112026,0.8266371538582357
O00429,-0.45293507371552105,3.0238708256395195e-9,6.276777411834903e-8
O00442,-0.22907485771303707,0.20332869659489877,0.5191576860060595
O00451,0.6242995421155706,0.14636779538067518,0.4110650810657542
O00453,0.392751192245946,0.03989519955840192,0.15111162759564523
O00461,0.5288898068993741,7.05987882926501e-7,9.967027586231713e-6
O00468,0.42192546975241096,1.2210163101995742e-8,2.327146085757643e-7
O00469,-0.18832569821683404,0.369962569416863,0.7736478714155214
O00471,-0.08398817905014497,0.9507446948766594,1
O00483,-0.6973670009077767,0.013135370606123785,0.06160694513588035
O00487,-0.44514286196990943,0.009013421525148039,0.0454792737123294
O00501,-0.7214930297953881,0.0013168553388112185,0.008934586465429514
O00505,-0.19073075061264458,0.33067982981567223,0.7184147805270019
O00506,0.15602566913008198,0.5058038412209913,0.9463790746272275
O00522,0.025105514430694302,0.9968176555602586,1
O00534,-0.007708011069793895,0.9999999999999687,1
O00560,0.1910708890348929,0.3376539235972114,0.7256703750092811
O00571,-0.04309040290748871,0.999991020752873,1
O00584,-0.20140602499411053,0.8464945586555129,1
O00585,0.46867381988375306,0.012335420737474739,0.05844341147144812
O00592,0.06441744625002634,0.8625497653426067,1
O00602,0.7263338957873802,1.627698134106934e-5,1.7727112406000972e-4
O00629,-0.02045679960144249,0.999902159647776,1
O00743,-0.14114309087651747,0.6577907330446648,1
O00754,-0.31682525539888096,0.028955908525908878,0.11696736459454327
O14498,0.32991439261152905,0.5642416305085048,1
O14521,0.6193280307882837,0.8891277520496511,1
O14523,0.09984804815085692,0.9495886738518673,1
O14530,-0.043481634895297,0.9576875280459375,1
O14545,0.0013204750447395567,0.9998924268573279,1
O14548,-0.14752472048858814,0.6821097410123365,1
O14561,0.04704212146035315,0.9489157411721251,1
O14579,-0.1996198296843871,0.27059359069530886,0.6303327365474611
O14594,-0.2903432719688532,0.09398217040918323,0.2951252385293819
O14602,0.3077957502036567,0.1930288522292727,0.4983805279540274
O14617,-0.10429898312229559,0.9824719349819729,1
O14618,-0.23034288154655375,0.246423244556756,0.588747956938164
O14639,0.05506404988581396,0.9923561018460316,1
O14653,0.28107141666309376,0.1841952066646134,0.4818832267513196
O14656,0.10340987574580243,0.6768536369376561,1
O14662,-0.011797678370412831,0.999901406627911,1
O14672,-0.4029103770194025,1.8171050639052326e-7,2.8536035703949966e-6
O14730,-0.33819627819718406,0.0920702637501907,0.29026362098086433
O14734,0.16715717801416952,0.6207596139643794,1
O14735,-0.5396616987166386,7.905470532173762e-4,0.0057748498155757114
O14737,0.12923335133594968,0.6003930230798846,1
O14744,0.12077148672027287,0.8562935856355739,1
O14745,-0.15985122693616852,0.5676457524280818,1
O14773,0.23420901491090212,0.1803560302169039,0.4750206248112299
O14775,-0.18833763117317812,0.23001753567457012,0.5636841186928536
O14786,0.5371728904143872,4.967230158847992e-13,1.9465043043037037e-11
O14787,-0.480738642812628,5.7539362174316564e-5,5.458428633414239e-4
O14791,0.09384290518832623,0.8684388747262377,1
O14818,-0.3917966193611288,8.226462894886731e-4,0.00597808646763606
O14828,-0.32930292467492184,0.061707833704833404,0.21138966235650852
O14874,0.39372000446761085,0.02232761385077152,0.09475676606911436
O14880,0.1597352642440198,0.5484087372257853,0.9917928615511986
O14920,-0.15706481282702472,0.7729145682804007,1
O14949,0.24496047231624143,0.6643422951457935,1
O14960,0.2736180483825255,0.18497107033653695,0.4826023563967783
O14964,-0.21880540834226675,0.42662262125367434,0.852635200627577
O14974,-0.25459037766738085,0.03689056506095565,0.14243290911656264
O14975,-0.0025684697475275723,0.999976064349495,1
O14976,-0.03621151601974307,0.9999247611765887,1
O14979,0.25663436696578007,0.2581345336970341,0.6112932776164524
O14980,-0.1739812693699948,0.2847653995772471,0.652470666900217
O15013,0.6401830911404195,2.168387141329957e-4,0.0018220535638469957
O15027,0.09996147727590207,0.843411560203656,1
O15031,-0.12290941649033818,0.9459365901546682,1
O15067,-0.15384958943226854,0.6833530763167689,1
O15084,-0.29969092106013245,0.0024962416989331784,0.01546047480594803
O15111,0.05356810227056705,0.9994213168869452,1
O15116,0.16267146719856893,0.5618865347032964,1
O15117,-0.3308658256516833,0.07652689420098147,0.24970993570794964
O15126,-0.2979028143859768,0.0965441789090481,0.301197724825624
O15127,-0.6867432712719913,0.008581657902749939,0.04393515456194199
O15143,-0.7572032303933307,1.191152097696673e-10,3.1610764212924997e-9
O15144,-0.6293245447545472,1.1506585068362424e-10,3.07306440711106e-9
O15145,-0.5006477247994547,0.008301146954634766,0.0426030712127094
O15155,-0.1826041191585221,0.805604642954748,1
O15162,-0.38030093895565775,0.159342051033794,0.4369661347185731
O15173,-0.19242938962992476,0.7546207229053976,1
O15194,-0.21811955073413541,0.4166138385416935,0.8407569195004043
O15204,0.26800456812627416,0.08337680965155302,0.26830311808822854
O15211,-0.15746425133288408,0.6786919101321494,1
O15212,-0.30845643699295194,0.2754247989846509,0.6376897747888687
O15228,0.1626328351524972,0.5498922964095063,0.9931653580375271
O15230,0.3213539458797326,1.4236482819132321e-4,0.0012514375777908139
O15231,-0.08690072474120208,0.9527397454955913,1
O15240,0.5660481798920596,2.6691793096344398e-8,4.844964868094029e-7
O15258,0.13457442151479412,0.7298123213105971,1
O15260,-0.19097199972854395,0.5299983026317938,0.97227069610836
O15269,0.08192295648033725,0.9048949044192458,1
O15270,-0.06239870966407858,0.9605566395780476,1
O15305,0.1425844308717296,0.5638868386734407,1
O15321,0.1717873568965681,0.5146850960439862,0.9565933544824619
O15327,-0.36020301057368576,5.023130912121362e-5,4.8529926070333806e-4
O15335,-0.1190809696286047,0.8699674312111875,1
O15347,0.41399980626077193,0.023962590219270306,0.10047514078940038
O15354,0.13028871091956995,0.8985456375946492,1
O15357,-0.2616299545562297,0.04395688417291156,0.1622457881487836
O15371,0.1118531385597162,0.9083739499362528,1
O15372,0.08667949266167349,0.9518561492265423,1
O15382,-0.040474695461855247,0.9635343398105538,1
O15400,-0.4741029541753089,7.415889437066096e-6,8.808732127370578e-5
O15427,-0.4579265272958622,0.036100058259761,0.14036963634347024
O15438,-0.0165764070534476,0.9998390519042865,1
O15439,-0.13088199503653297,0.9088091118752466,1
O15466,0.01600254924086362,0.9924707646090007,1
O15467,0.4775761485051857,0.013638940430981438,0.06361298912914924
O15511,-0.7671910429302357,1.6210512745904536e-6,2.1307423179804927e-5
O15523,0.4652454243840665,0.11810534597251916,0.3519656827738258
O15533,-0.3486029932551236,0.02678598650331329,0.10978850577555486
O15551,0.46678813254116847,0.36277096708374196,0.7643711884332312
O43149,-0.17061864353822567,0.5278997676059075,0.9712521832257877
O43150,-0.21883567984996366,0.1251736093431103,0.3685765056008859
