PG.ProteinGroups,HYE mix A,HYE mix B
A0A024RBG1;Q9NZJ9,1,1
A0A0B4J2D5;P0DPI2,1,1
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,1,1
A0AVT1,1,1
A0FGR8,1,1
A0JNW5,1,1
A0MZ66,1,1
A0PJW6,1,1
A1L0T0,1,1
A1L390,1,1
A1X283,1,1
A2RRP1,1,1
A2RUS2,1,1
A3KMH1,1,1
A3KN83,1,1
A4D1E9,1,1
A4D1P6,1,1
A4D2P6,1,1
A5PLL7,1,1
A5PLN9,1,1
A5YKK6,1,1
A6NCE7;Q9GZQ8,1,1
A6NDG6,1,1
A6NDU8,1,1
A6NED2,1,1
A6NHR9,1,1
A6NIH7,1,1
A6NJ78,1,1
A6NKD9,1,1
A6NNY8;Q9UPT9,1,1
A6ZKI3,1,1
A7E2V4,1,1
A8CG34,1,1
A8MQ03,1,1
A8MWD9;P62308,1,1
A8MXV4,1,1
B7ZAQ6;P0CG08,1,1
C4AMC7;Q6VEQ5,1,1
C9J7I0,1,1
C9JLW8,1,1
E9PAV3;Q13765,1,1
E9PRG8,1,1
L0R6Q1,1,1
L0R819,1,1
L0R8F8,1,1
O00115,1,1
O00116,1,1
O00124,1,1
O00139,1,1
O00148,1,1
O00151,1,1
O00154,1,1
O00159,1,1
O00161,1,1
O00165,1,1
O00170,1,1
O00178,1,1
O00180,1,1
O00186,1,1
O00193,1,1
O00194,1,1
O00203,1,1
O00214,1,1
O00217,1,1
O00220,1,1
O00231,1,1
O00232,1,1
O00233,1,1
O00244,1,1
O00255,1,1
O00257,1,1
O00258,1,1
O00264,1,1
O00267,1,1
O00273,1,1
O00287,1,1
O00299,1,1
O00303,1,1
O00330,1,1
O00399,1,1
O00400,1,1
O00401,1,1
O00410,1,1
O00411,1,1
O00418,1,1
O00422,1,1
O00425,1,1
O00429,1,1
O00442,1,1
O00443,1,1
O00458,1,1
O00461,1,1
O00468,1,1
O00469,1,1
O00471,1,1
O00483,1,1
O00487,1,1
O00488,1,1
O00499,1,1
O00505,1,1
O00541,1,1
O00560,1,1
O00566,1,1
O00567,1,1
O00571,1,1
O00584,1,1
O00592,1,1
O00622,1,1
O00625,1,1
O00629,1,1
O00712,1,1
O00743,1,1
O00762,1,1
O00763,1,1
O00764,1,1
O00767,1,1
O13297,1,1
O13516,1,1
O13539,1,1
O13563,1,1
O13585,1,1
O14467,1,1
O14497,1,1
O14519,1,1
O14530,1,1
O14545,1,1
O14548,1,1
O14561,1,1
O14562,1,1
O14578,1,1
O14579,1,1
O14617,1,1
O14618,1,1
O14639,1,1
O14641,1,1
O14646,1,1
O14647,1,1
O14653,1,1
