R.Condition,PG.ProteinGroups,peptide_count,present_replicate_count,replicate_total_count,present_replicate_percentage
HYE mix A,A0A024RBG1;Q9NZJ9,4,4,4,100
HYE mix A,A0A0B4J2D5;P0DPI2,8,4,4,100
HYE mix A,A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,2,4,4,100
HYE mix A,A0AVT1,32,4,4,100
HYE mix A,A0FGR8,25,4,4,100
HYE mix A,A0JNW5,2,4,4,100
HYE mix A,A0MZ66,24,4,4,100
HYE mix A,A0PJW6,3,4,4,100
HYE mix A,A1L0T0,12,4,4,100
HYE mix A,A1L390,7,4,4,100
HYE mix A,A1X283,17,4,4,100
HYE mix A,A2RRP1,12,4,4,100
HYE mix A,A2RUS2,4,4,4,100
HYE mix A,A3KMH1,21,4,4,100
HYE mix A,A3KN83,16,4,4,100
HYE mix A,A4D1E9,14,4,4,100
HYE mix A,A4D1P6,7,4,4,100
HYE mix A,A4D2P6,2,4,4,100
HYE mix A,A5PLL7,5,4,4,100
HYE mix A,A5PLN9,2,3,4,75
HYE mix A,A5YKK6,62,4,4,100
HYE mix A,A6NCE7;Q9GZQ8,3,4,4,100
HYE mix A,A6NDG6,12,4,4,100
HYE mix A,A6NDU8,6,4,4,100
HYE mix A,A6NED2,4,4,4,100
HYE mix A,A6NHR9,48,4,4,100
HYE mix A,A6NIH7,4,4,4,100
HYE mix A,A6NJ78,7,4,4,100
HYE mix A,A6NKD9,5,4,4,100
HYE mix A,A6NNY8;Q9UPT9,2,4,4,100
HYE mix A,A6ZKI3,2,3,4,75
HYE mix A,A7E2V4,2,2,4,50
HYE mix A,A8CG34,9,4,4,100
HYE mix A,A8MQ03,2,4,4,100
HYE mix A,A8MWD9;P62308,2,4,4,100
HYE mix A,A8MXV4,3,4,4,100
HYE mix A,B7ZAQ6;P0CG08,5,4,4,100
HYE mix A,C4AMC7;Q6VEQ5,6,4,4,100
HYE mix A,C9J7I0,2,4,4,100
HYE mix A,C9JLW8,4,4,4,100
HYE mix A,E9PAV3;Q13765,6,4,4,100
HYE mix A,E9PRG8,3,4,4,100
HYE mix A,L0R6Q1,5,4,4,100
HYE mix A,L0R819,6,4,4,100
HYE mix A,L0R8F8,4,4,4,100
HYE mix A,O00115,4,4,4,100
HYE mix A,O00116,25,4,4,100
HYE mix A,O00124,2,4,4,100
HYE mix A,O00139,20,4,4,100
HYE mix A,O00148,7,4,4,100
HYE mix A,O00151,14,4,4,100
HYE mix A,O00154,11,4,4,100
HYE mix A,O00159,42,4,4,100
HYE mix A,O00161,11,4,4,100
HYE mix A,O00165,6,4,4,100
HYE mix A,O00170,12,4,4,100
HYE mix A,O00178,12,4,4,100
HYE mix A,O00180,2,3,4,75
HYE mix A,O00186,15,4,4,100
HYE mix A,O00193,5,4,4,100
HYE mix A,O00194,4,4,4,100
HYE mix A,O00203,28,4,4,100
HYE mix A,O00214,8,4,4,100
HYE mix A,O00217,5,4,4,100
HYE mix A,O00220,2,4,4,100
HYE mix A,O00231,26,4,4,100
HYE mix A,O00232,21,4,4,100
HYE mix A,O00233,9,4,4,100
HYE mix A,O00244,5,4,4,100
HYE mix A,O00255,4,4,4,100
HYE mix A,O00257,2,4,4,100
HYE mix A,O00258,3,4,4,100
HYE mix A,O00264,10,4,4,100
HYE mix A,O00267,34,4,4,100
HYE mix A,O00273,11,4,4,100
HYE mix A,O00287,2,3,4,75
HYE mix A,O00299,13,4,4,100
HYE mix A,O00303,11,4,4,100
HYE mix A,O00330,12,4,4,100
HYE mix A,O00399,2,4,4,100
HYE mix A,O00400,4,4,4,100
HYE mix A,O00401,9,4,4,100
HYE mix A,O00410,35,4,4,100
HYE mix A,O00411,20,4,4,100
HYE mix A,O00418,8,4,4,100
HYE mix A,O00422,8,4,4,100
HYE mix A,O00425,18,4,4,100
HYE mix A,O00429,38,4,4,100
HYE mix A,O00442,9,4,4,100
HYE mix A,O00443,20,4,4,100
HYE mix A,O00458,4,4,4,100
HYE mix A,O00461,17,4,4,100
HYE mix A,O00468,24,4,4,100
HYE mix A,O00469,25,4,4,100
HYE mix A,O00471,8,4,4,100
HYE mix A,O00483,4,4,4,100
HYE mix A,O00487,10,4,4,100
HYE mix A,O00488,2,4,4,100
HYE mix A,O00499,15,4,4,100
HYE mix A,O00505,10,4,4,100
HYE mix A,O00541,16,4,4,100
HYE mix A,O00560,9,4,4,100
HYE mix A,O00566,12,4,4,100
HYE mix A,O00567,24,4,4,100
HYE mix A,O00571,36,4,4,100
HYE mix A,O00584,2,3,4,75
HYE mix A,O00592,7,4,4,100
HYE mix A,O00622,13,4,4,100
HYE mix A,O00625,8,4,4,100
HYE mix A,O00629,9,4,4,100
HYE mix A,O00712,7,4,4,100
HYE mix A,O00743,12,4,4,100
HYE mix A,O00762,6,4,4,100
HYE mix A,O00763,10,4,4,100
HYE mix A,O00764,14,4,4,100
HYE mix A,O00767,3,4,4,100
HYE mix A,O13297,14,4,4,100
HYE mix A,O13516,10,4,4,100
HYE mix A,O13539,2,4,4,100
HYE mix A,O13563,5,4,4,100
HYE mix A,O13585,7,4,4,100
HYE mix A,O14467,9,4,4,100
HYE mix A,O14497,31,4,4,100
HYE mix A,O14519,4,4,4,100
HYE mix A,O14530,10,4,4,100
HYE mix A,O14545,4,4,4,100
HYE mix A,O14548,4,4,4,100
HYE mix A,O14561,3,4,4,100
HYE mix A,O14562,5,4,4,100
HYE mix A,O14578,23,4,4,100
HYE mix A,O14579,11,4,4,100
HYE mix A,O14617,28,4,4,100
HYE mix A,O14618,5,4,4,100
HYE mix A,O14639,17,4,4,100
HYE mix A,O14641,2,4,4,100
HYE mix A,O14646,27,4,4,100
HYE mix A,O14647,6,4,4,100
HYE mix A,O14653,6,4,4,100
HYE mix A,O14656,7,4,4,100
HYE mix A,O14657,5,4,4,100
HYE mix A,O14662,5,4,4,100
HYE mix A,O14672,19,4,4,100
HYE mix A,O14684,2,4,4,100
HYE mix A,O14686,2,3,4,75
HYE mix A,O14713,2,4,4,100
HYE mix A,O14732,2,1,4,25
HYE mix A,O14733,6,4,4,100
HYE mix A,O14734,5,4,4,100
HYE mix A,O14735,5,4,4,100
HYE mix A,O14737,6,4,4,100
HYE mix A,O14744,28,4,4,100
HYE mix A,O14745,20,4,4,100
HYE mix A,O14757,8,4,4,100
HYE mix A,O14773,6,4,4,100
HYE mix A,O14776,30,4,4,100
HYE mix A,O14777,18,4,4,100
HYE mix A,O14786,2,4,4,100
HYE mix A,O14787,6,4,4,100
HYE mix A,O14795,5,4,4,100
HYE mix A,O14802,26,4,4,100
HYE mix A,O14818,15,4,4,100
HYE mix A,O14828,8,4,4,100
HYE mix A,O14874,6,4,4,100
HYE mix A,O14880,4,4,4,100
HYE mix A,O14893,3,4,4,100
HYE mix A,O14907,3,4,4,100
HYE mix A,O14908,14,4,4,100
HYE mix A,O14920,13,4,4,100
