R.Condition,PG.ProteinGroups,replicate_count,replicate_count_total,replicate_percentage
HYE mix A,A0A024RBG1;Q9NZJ9,4,4,100
HYE mix A,A0A0B4J2D5;P0DPI2,4,4,100
HYE mix A,A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,4,4,100
HYE mix A,A0AVT1,4,4,100
HYE mix A,A0FGR8,4,4,100
HYE mix A,A0JNW5,4,4,100
HYE mix A,A0MZ66,4,4,100
HYE mix A,A0PJW6,4,4,100
HYE mix A,A1L0T0,4,4,100
HYE mix A,A1L390,4,4,100
HYE mix A,A1X283,4,4,100
HYE mix A,A2RRP1,4,4,100
HYE mix A,A2RUS2,4,4,100
HYE mix A,A3KMH1,4,4,100
HYE mix A,A3KN83,4,4,100
HYE mix A,A4D1E9,4,4,100
HYE mix A,A4D1P6,4,4,100
HYE mix A,A4D2P6,4,4,100
HYE mix A,A5PLL7,4,4,100
HYE mix A,A5PLN9,3,4,75
HYE mix A,A5YKK6,4,4,100
HYE mix A,A6NCE7;Q9GZQ8,4,4,100
HYE mix A,A6NDG6,4,4,100
HYE mix A,A6NDU8,4,4,100
HYE mix A,A6NED2,4,4,100
HYE mix A,A6NHR9,4,4,100
HYE mix A,A6NIH7,4,4,100
HYE mix A,A6NJ78,4,4,100
HYE mix A,A6NKD9,4,4,100
HYE mix A,A6NNY8;Q9UPT9,4,4,100
HYE mix A,A6ZKI3,3,4,75
HYE mix A,A7E2V4,2,4,50
HYE mix A,A8CG34,4,4,100
HYE mix A,A8MQ03,4,4,100
HYE mix A,A8MWD9;P62308,4,4,100
HYE mix A,A8MXV4,4,4,100
HYE mix A,B7ZAQ6;P0CG08,4,4,100
HYE mix A,C4AMC7;Q6VEQ5,4,4,100
HYE mix A,C9J7I0,4,4,100
HYE mix A,C9JLW8,4,4,100
HYE mix A,E9PAV3;Q13765,4,4,100
HYE mix A,E9PRG8,4,4,100
HYE mix A,L0R6Q1,4,4,100
HYE mix A,L0R819,4,4,100
HYE mix A,L0R8F8,4,4,100
HYE mix A,O00115,4,4,100
HYE mix A,O00116,4,4,100
HYE mix A,O00124,4,4,100
HYE mix A,O00139,4,4,100
HYE mix A,O00148,4,4,100
HYE mix A,O00151,4,4,100
HYE mix A,O00154,4,4,100
HYE mix A,O00159,4,4,100
HYE mix A,O00161,4,4,100
HYE mix A,O00165,4,4,100
HYE mix A,O00170,4,4,100
HYE mix A,O00178,4,4,100
HYE mix A,O00180,3,4,75
HYE mix A,O00186,4,4,100
HYE mix A,O00193,4,4,100
HYE mix A,O00194,4,4,100
HYE mix A,O00203,4,4,100
HYE mix A,O00214,4,4,100
HYE mix A,O00217,4,4,100
HYE mix A,O00220,4,4,100
HYE mix A,O00231,4,4,100
HYE mix A,O00232,4,4,100
HYE mix A,O00233,4,4,100
HYE mix A,O00244,4,4,100
HYE mix A,O00255,4,4,100
HYE mix A,O00257,4,4,100
HYE mix A,O00258,4,4,100
HYE mix A,O00264,4,4,100
HYE mix A,O00267,4,4,100
HYE mix A,O00273,4,4,100
HYE mix A,O00287,3,4,75
HYE mix A,O00299,4,4,100
HYE mix A,O00303,4,4,100
HYE mix A,O00330,4,4,100
HYE mix A,O00399,4,4,100
HYE mix A,O00400,4,4,100
HYE mix A,O00401,4,4,100
