R.Condition,cumulative frequency,CV_cut,level,cumulative frequency proportion
HYE mix A,576,0.01,peptide level,0.005467645020740979
HYE mix B,744,0.01,peptide level,0.007062374818457099
HYE mix A,221,0.01,protein level,0.02059453918553723
HYE mix B,379,0.01,protein level,0.03531823688379462
HYE mix A,3768,0.02,peptide level,0.03576751117734724
HYE mix B,4606,0.02,peptide level,0.0437221752873836
HYE mix A,1282,0.02,protein level,0.11946696486813904
HYE mix B,1841,0.02,protein level,0.1715590345727332
HYE mix A,9711,0.03,peptide level,0.09218107777155496
HYE mix B,11226,0.03,peptide level,0.1065621232688164
HYE mix A,2798,0.03,protein level,0.2607399124033175
HYE mix B,3435,0.03,protein level,0.3201006429969248
HYE mix A,16686,0.04,peptide level,0.15839084169459025
HYE mix B,19157,0.04,peptide level,0.18184665913599818
HYE mix A,4097,0.04,protein level,0.38179107259342093
HYE mix B,4686,0.04,protein level,0.43667878110148167
HYE mix A,23714,0.05,peptide level,0.2251037048990479
HYE mix B,27000,0.05,peptide level,0.25629586034723345
HYE mix A,5096,0.05,protein level,0.4748858447488584
HYE mix B,5640,0.05,protein level,0.5255800950517193
HYE mix A,30034,0.06,peptide level,0.2850959210988448
HYE mix B,34082,0.06,peptide level,0.32352131527238553
HYE mix A,5854,0.06,protein level,0.5455223185164477
HYE mix B,6392,0.06,protein level,0.5956574410586152
HYE mix A,35923,0.07,peptide level,0.340996895972358
HYE mix B,40625,0.07,peptide level,0.38563034542986513
HYE mix A,6445,0.07,protein level,0.6005964029447396
HYE mix B,6962,0.07,protein level,0.6487745783244805
HYE mix A,41045,0.08,peptide level,0.3896171699241554
HYE mix B,46333,0.08,peptide level,0.4398131887951247
HYE mix A,6908,0.08,protein level,0.6437424284782406
HYE mix B,7386,0.08,protein level,0.6882862734134749
HYE mix A,45459,0.09,peptide level,0.431516796871292
HYE mix B,51187,0.09,peptide level,0.48588948902199397
HYE mix A,7311,0.09,protein level,0.6812971764048085
HYE mix B,7775,0.09,protein level,0.7245363898984252
HYE mix A,49365,0.1,peptide level,0.46859426466819176
HYE mix B,55504,0.1,peptide level,0.5268683493597349
HYE mix A,7635,0.1,protein level,0.7114900754822477
HYE mix B,8079,0.1,protein level,0.7528655297735533
HYE mix A,52898,0.11,peptide level,0.5021310526165909
HYE mix B,59232,0.11,peptide level,0.5622561629661974
HYE mix A,7891,0.11,protein level,0.7353461932718293
HYE mix B,8311,0.11,protein level,0.77448513652036155
HYE mix A,56033,0.12,peptide level,0.5318898497346863
HYE mix B,62470,0.12,peptide level,0.5929926813293211
HYE mix A,8104,0.12,protein level,0.7551952287764421
HYE mix B,8517,0.12,protein level,0.7936818563041655
HYE mix A,58748,0.13,peptide level,0.5576618223584915
HYE mix B,65383,0.13,peptide level,0.6206441569290061
HYE mix A,8312,0.13,protein level,0.7745783244804771
HYE mix B,8702,0.13,protein level,0.8109216289255429
HYE mix A,61357,0.14,peptide level,0.5824275964194519
HYE mix B,67976,0.14,peptide level,0.6452580519616126
HYE mix A,8474,0.14,protein level,0.7896747740191967
HYE mix B,8846,0.14,protein level,0.8243406951821824
HYE mix A,63596,0.15,peptide level,0.603681167949728
HYE mix B,70249,0.15,peptide level,0.6668343664271408
HYE mix A,8613,0.15,protein level,0.8026279004752586
HYE mix B,8978,0.15,protein level,0.8366415059174355
HYE mix A,65657,0.16,peptide level,0.6232450852895669
HYE mix B,72364,0.16,peptide level,0.686910875487674
HYE mix A,8748,0.16,protein level,0.8152082750908582
HYE mix B,9097,0.16,protein level,0.8477308731711862
HYE mix A,67537,0.17,peptide level,0.641090871121152
HYE mix B,74156,0.17,peptide level,0.7039213266633126
HYE mix A,8860,0.17,protein level,0.8256453266238002
HYE mix B,9193,0.17,protein level,0.8566769173422794
HYE mix A,69276,0.18,peptide level,0.6575982230153683
HYE mix B,75830,0.18,peptide level,0.7198116700048411
HYE mix A,8954,0.18,protein level,0.8344049948746622
HYE mix B,9283,0.18,protein level,0.8650638337526791
HYE mix A,70883,0.19,peptide level,0.6728525729256647
HYE mix B,77297,0.19,peptide level,0.7337370784170408
HYE mix A,9052,0.19,protein level,0.8435374149659864
HYE mix B,9353,0.19,protein level,0.8715869909607679
HYE mix A,72357,0.2,peptide level,0.6868444284127693
HYE mix B,78605,0.2,peptide level,0.7461531889849735
HYE mix A,9136,0.2,protein level,0.8513652036156929
HYE mix B,9420,0.2,protein level,0.8778305842885099
HYE mix A,73641,0.21,peptide level,0.699032720438171
HYE mix B,79907,0.21,peptide level,0.7585123449172734
HYE mix A,9219,0.21,protein level,0.8590998043052838
HYE mix B,9487,0.21,protein level,0.884074177616252
HYE mix A,74876,0.22,peptide level,0.7107558829392389
HYE mix B,81034,0.22,peptide level,0.7692103239769523
HYE mix A,9289,0.22,protein level,0.8656229615133725
HYE mix B,9546,0.22,protein level,0.8895722672630696
HYE mix A,76034,0.23,peptide level,0.7217481276163535
HYE mix B,82094,0.23,peptide level,0.7792723096053993
HYE mix A,9352,0.23,protein level,0.8714938030006523
HYE mix B,9617,0.23,protein level,0.8961886124312739
HYE mix A,77116,0.24,peptide level,0.7320189469087871
HYE mix B,83035,0.24,peptide level,0.788204694960464
HYE mix A,9416,0.24,protein level,0.8774578324480478
HYE mix B,9651,0.24,protein level,0.8993570030752027
HYE mix A,78111,0.25,peptide level,0.7414639239845463
HYE mix B,83831,0.25,peptide level,0.7957606766210713
HYE mix A,9472,0.25,protein level,0.8826763582145187
HYE mix B,9697,0.25,protein level,0.9036436492405181
HYE mix A,79058,0.26,peptide level,0.7504532639752437
HYE mix B,84641,0.26,peptide level,0.8034495524314883
HYE mix A,9540,0.26,protein level,0.8890131395023763
HYE mix B,9739,0.26,protein level,0.9075575435653713
HYE mix A,79936,0.27,peptide level,0.7587876256561649
HYE mix B,85384,0.27,peptide level,0.8105024348106733
HYE mix A,9581,0.27,protein level,0.892833845867114
HYE mix B,9778,0.27,protein level,0.9111918740098779
HYE mix A,80741,0.28,peptide level,0.7664290392702213
HYE mix B,86073,0.28,peptide level,0.8170427254691638
HYE mix A,9623,0.28,protein level,0.8967477401919672
HYE mix B,9823,0.28,protein level,0.9153853322150778
HYE mix A,81548,0.29,peptide level,0.7740894377628219
HYE mix B,86647,0.29,peptide level,0.8224913856113606
HYE mix A,9662,0.29,protein level,0.9003820706364738
HYE mix B,9861,0.29,protein level,0.9189264746994689
HYE mix A,82325,0.3,peptide level,0.7814650630772589
HYE mix B,87228,0.3,peptide level,0.8280064928284622
HYE mix A,9695,0.3,protein level,0.903457273320287
HYE mix B,9887,0.3,protein level,0.9213493616624732
HYE mix A,83030,0.31,peptide level,0.7881572327641034
HYE mix B,87792,0.31,peptide level,0.8333602285779377
HYE mix A,9743,0.31,protein level,0.9079302954058336
HYE mix B,9916,0.31,protein level,0.9240518125058242
HYE mix A,83669,0.32,peptide level,0.7942229014589879
HYE mix B,88291,0.32,peptide level,0.8380969557747254
HYE mix A,9780,0.32,protein level,0.9113782499301091
HYE mix B,9945,0.32,protein level,0.9267542633491753
HYE mix A,84309,0.33,peptide level,0.8002980625931445
HYE mix B,88767,0.33,peptide level,0.8426153568682544
HYE mix A,9815,0.33,protein level,0.9146398285341534
HYE mix B,9962,0.33,protein level,0.9283384586711397
HYE mix A,84892,0.34,peptide level,0.8058321546887903
HYE mix B,89213,0.34,peptide level,0.8468489847836198
HYE mix A,9854,0.34,protein level,0.9182741589786599
HYE mix B,9989,0.34,protein level,0.9308545335942596
HYE mix A,85499,0.35,peptide level,0.8115940653269671
HYE mix B,89667,0.35,peptide level,0.8511585522131622
HYE mix A,9876,0.35,protein level,0.9203242941012021
HYE mix B,10002,0.35,protein level,0.9320659770757618
HYE mix A,86001,0.36,peptide level,0.8163592698415711
HYE mix B,90114,0.36,peptide level,0.8554016725677998
HYE mix A,9911,0.36,protein level,0.9235858727052465
HYE mix B,10026,0.36,protein level,0.9343024881185351
HYE mix A,86492,0.37,peptide level,0.821020057524182
HYE mix B,90535,0.37,peptide level,0.8593979895013621
HYE mix A,9937,0.37,protein level,0.9260087596682509
HYE mix B,10049,0.37,protein level,0.9364458112011929
HYE mix A,86998,0.38,peptide level,0.8258232317958746
HYE mix B,90871,0.38,peptide level,0.8625874490967944
HYE mix A,9956,0.38,protein level,0.9277793309104464
HYE mix B,10062,0.38,protein level,0.937657254682695
HYE mix A,87499,0.39,peptide level,0.8305789438712066
HYE mix B,91257,0.39,peptide level,0.8662515306558326
HYE mix A,9981,0.39,protein level,0.9301090299133352
HYE mix B,10075,0.39,protein level,0.9388686981641972
HYE mix A,87959,0.4,peptide level,0.8349454659363816
HYE mix B,91613,0.4,peptide level,0.8696308390367072
HYE mix A,10000,0.4,protein level,0.9318796011555307
HYE mix B,10086,0.4,protein level,0.9398937657254682
HYE mix A,88401,0.41,peptide level,0.8391411240946586
HYE mix B,91943,0.41,peptide level,0.8727633439965068
HYE mix A,10021,0.41,protein level,0.9338365483179574
HYE mix B,10101,0.41,protein level,0.9412915851272016
HYE mix A,88870,0.42,peptide level,0.8435930781132828
HYE mix B,92308,0.42,peptide level,0.8762280843308305
HYE mix A,10037,0.42,protein level,0.9353275556798062
HYE mix B,10119,0.42,protein level,0.9429689684092816
HYE mix A,89314,0.43,peptide level,0.8478077211501039
HYE mix B,92636,0.43,peptide level,0.8793416044120858
HYE mix A,10053,0.43,protein level,0.936818563041655
HYE mix B,10133,0.43,protein level,0.9442735998508993
HYE mix A,89741,0.44,peptide level,0.851860992719299
HYE mix B,92943,0.44,peptide level,0.8822557832686265
HYE mix A,10067,0.44,protein level,0.9381231944832727
HYE mix B,10145,0.44,protein level,0.9453918553722859
HYE mix A,90124,0.45,peptide level,0.8554965969605209
HYE mix B,93200,0.45,peptide level,0.8846953401615613
HYE mix A,10082,0.45,protein level,0.9395210138850061
HYE mix B,10156,0.45,protein level,0.946416922933557
HYE mix A,90513,0.46,peptide level,0.8591891558373755
HYE mix B,93497,0.46,peptide level,0.8875145946253808
HYE mix A,10093,0.46,protein level,0.9405460814462772
HYE mix B,10165,0.46,protein level,0.947255614574597
HYE mix A,90875,0.47,peptide level,0.8626254188538829
HYE mix B,93799,0.47,peptide level,0.8903813112855611
HYE mix A,10104,0.47,protein level,0.9415711490075482
HYE mix B,10177,0.47,protein level,0.9483738700959836
HYE mix A,91229,0.48,peptide level,0.8659857423562133
HYE mix B,94060,0.48,peptide level,0.8928588379355843
HYE mix A,10116,0.48,protein level,0.9426894045289349
HYE mix B,10183,0.48,protein level,0.948932997856677
HYE mix A,91576,0.49,peptide level,0.8692796187836388
HYE mix B,94341,0.49,peptide level,0.89552621337105
HYE mix A,10126,0.49,protein level,0.9436212841300904
HYE mix B,10193,0.49,protein level,0.9498648774578324
HYE mix A,91903,0.5,peptide level,0.8723836464256219
HYE mix B,94572,0.5,peptide level,0.8977189668429096
HYE mix A,10138,0.5,protein level,0.9447395396514771
HYE mix B,10213,0.5,protein level,0.9517286366601435
HYE mix A,92258,0.51,peptide level,0.8757534623672245
HYE mix B,94840,0.51,peptide level,0.9002629405678377
