R.Condition,PG.ProteinGroups,mean_iBAQ_intensities,SD_iBAQ_intensities,CV_iBAQ_intensities,iBAQ_quantiles
HYE mix A,A0A024RBG1;Q9NZJ9,7697.55,843.738089298648,0.10961125154089911,Q6
HYE mix A,A0A075B6T6,1156.375,85.55510407528779,0.0739856050807807,Q2
HYE mix A,A0A0B4J2D5;P0DPI2,25211.45,915.2246008494311,0.0363019422067922,Q8
HYE mix A,A0A0B4J2F0,21892.3,1388.7950340733034,0.06343760290482514,Q8
HYE mix A,A0A0U1RRE5,8616.55,578.3345196913868,0.06711903484473332,Q6
HYE mix A,A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,6082.925,1082.3719304533597,0.17793609660703685,Q5
HYE mix A,A0AVT1,24292.125,1229.8872776939086,0.05062905273597549,Q8
HYE mix A,A0FGR8,14033.3,362.56556188731815,0.025836087156072926,Q7
HYE mix A,A0JNW5,127.075,8.494851381866551,0.06684911573375213,Q1
HYE mix A,A0MZ66,11766.725,191.06685348327684,0.016237895717226062,Q6
HYE mix A,A0PJW6,6205.65,464.73027661214417,0.07488825128909046,Q5
HYE mix A,A1L0T0,7286.1,295.39822838557006,0.04054270849776562,Q5
HYE mix A,A1L390,1126.3500000000001,64.06228739802123,0.05687600425979599,Q2
HYE mix A,A1X283,5275.05,365.09005738310674,0.06921072926002725,Q5
HYE mix A,A2A3N6,863.65,99.26075088707857,0.11493168631630704,Q2
HYE mix A,A2RRP1,721.075,215.27838372674577,0.298552000453137,Q2
HYE mix A,A2RTX5,199.65,169.1960105912666,0.8474631134047914,Q1
HYE mix A,A2RU30,202.175,143.4098642585881,0.7093352999064577,Q1
HYE mix A,A2RU67,113.025,28.178168263154845,0.24930916401818043,Q1
HYE mix A,A2RUS2,7546.3499999999995,152.18927907926576,0.020167270147722512,Q6
HYE mix A,A3KMH1,1776,92.27748009852309,0.05195804059601525,Q3
HYE mix A,A3KN83,6117.4,513.1359988670972,0.08388138733237932,Q5
HYE mix A,A4D1E9,6409.425,598.4986960442492,0.09337790769753124,Q5
HYE mix A,A4D1P6,2399.7,382.5098604393529,0.15939903339557152,Q3
HYE mix A,A4D2P6,2050.6,64.85697084097181,0.031628289691296115,Q3
HYE mix A,A5A614,0,0,NA,Q1
HYE mix A,A5PLL7,6772.025,306.6979336415554,0.04528895472795145,Q5
