PG.ProteinGroups,20230224_Exp...S_OT2_MixA_TR1,20230224_Exp...S_OT2_MixA_TR2,20230224_Exp...S_OT2_MixA_TR3,20230224_Exp...S_OT2_MixA_TR4,20230224_Exp...S_OT2_MixB_TR1,20230224_Exp...S_OT2_MixB_TR2,20230224_Exp...S_OT2_MixB_TR3,20230224_Exp...S_OT2_MixB_TR4
A0A024RBG1;Q9NZJ9,7307.038117129911,7135.460477954938,6706.215327974964,8436.742578255104,7156.76581903999,6680.846230029967,5902.327627462562,6196.335915996512
A0A075B6T6,9140.536142624469,7566.287757107536,8097.009506811007,7992.15875127558,7042.404763093424,6448.639902724719,6394.702029958552,6383.5910214521455
A0A0B4J2D5;P0DPI2,39721.16441879925,38635.17497868443,39290.07264103493,41684.57648313762,38061.276432443,38034.16818773812,39709.06694753541,40097.475146241086
A0A0B4J2F0,40430.59842890254,45292.33942390121,45564.640428361956,45993.427117113526,44980.80227529047,42349.30785041853,42224.86815332409,38330.121117308525
A0A0U1RRE5,47368.03760915074,39797.02997459245,44996.394309719115,42392.20980327606,37020.68093838539,36983.450201748194,38073.564626485626,34009.212711317756
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,45723.967669055404,44668.11001363742,44939.37538386774,41119.65813271775,125153.96551921323,122175.66161318228,121818.7119997549,111249.12188503954
A0AVT1,30548.908897643163,28539.680983745267,31120.152014625353,31888.242530126445,30417.890513317358,30274.87497828768,30058.856522420818,28885.539571491696
A0FGR8,15174.325092240055,14504.19864159969,14905.676702186514,14974.533649993664,14185.475432076282,13501.831408182963,14032.563687684473,13337.532049521902
A0JNW5,4819.438750136012,4256.849262170293,4692.842347847908,4636.951852054235,8246.766550172653,7962.810719093999,9070.455249288016,9159.6815329926
A0MZ66,9418.521662076148,9366.642289008492,10120.828329486729,9884.546557024498,9493.1425302851,9449.825509871373,9025.365723330524,9146.130112640873
A0PJW6,22443.790516192046,19984.095718751236,21198.04525391292,22215.464325174493,20004.2463331995,18548.16983555812,18347.16460380014,18101.89051973634
A1L0T0,14926.716788484648,13374.636303230442,14573.376608901708,13614.475528242749,14402.41744053199,13463.845387400028,14881.948436471906,13771.707768859658
A1L390,4254.777002614576,3698.9812241856735,4177.671567759248,3791.7824586479846,3415.6962757773026,3820.4698920135866,4247.79158062216,4102.148009171901
A1X283,14104.523919752664,13665.202777804949,14190.591212679303,15008.166808518807,14151.909637464309,14165.204369367371,14149.431295884184,14385.229640406591
A2A3N6,35708.77511488457,32008.618022382863,34361.79478713489,27311.64784865748,25888.081439366524,25869.382372905107,24244.520676848344,23487.819616286102
A2RRP1,5675.407293179688,6223.0610714778695,5872.689443967328,5868.021847298576,5537.866151410436,5655.6278825765075,5587.421517639124,5603.827234495743
A2RTX5,4004.937613889183,18411.343810079703,9568.18347932669,11635.942601769566,107.29947630956624,9976.129575098848,11645.622246700908,10187.561138650606
A2RU30,641.909297996362,5622.953349527528,8561.149662688813,6249.979369745903,1.389799763304524,4126.217397685651,4270.611064287067,5305.647774758888
A2RU67,3539.4374006708663,4533.564408687455,2817.2537090718884,2815.103550937546,3432.7108079250806,4029.080553740644,2888.117175108572,3490.1524780406817
A2RUS2,13832.733944237883,16567.035179153627,15508.907611104718,17343.52063285526,20219.04564134992,29488.433412125814,24033.141265785136,26616.536139370502
A3KMH1,7335.092051732845,7448.847367688552,7713.633308151397,6980.56658069552,6622.058368642453,6225.733513262142,6475.115430349288,6875.651075089291
A3KN83,11999.660012099077,12537.102337194658,12485.08620967244,12778.336877733464,12783.47273267521,12203.168889490258,12627.489367284285,12470.48302036127
A4D1E9,6245.5874116599625,5853.55965306493,5945.37281839052,6248.90182254582,6150.327814379038,5243.108337789549,5868.690241224541,6340.724957423392
A4D1P6,7945.024416272921,8082.0685061051745,7767.097849662143,7769.848651518785,7690.810757799161,8439.18546123272,8094.826308372253,7860.264191473083
A4D2P6,61249.77845579301,63293.78572289569,63041.01884127142,60591.97197501446,52460.27066793506,56104.84044215287,51968.82865968703,61224.60183807056
A5A614,15383.373899282695,15454.621025877797,8539.54048719803,5395.455332902352,6308.326437533043,6355.4040483812505,6579.162047913462,10609.409159823099
A5PLL7,8688.876049421311,7570.807050249939,7401.727221092671,7974.907752177818,8660.692040842165,8345.127300441989,8413.793366753755,9097.007993856858
A5PLN9,26634.04584147802,29640.650439234174,29586.568324361982,29597.687793614878,19481.08503737412,24366.257786276277,25373.514232877413,27438.152868074685
A5YKK6,12584.845810548053,12165.893619702649,12053.98179329219,12353.381018108186,11811.710899276439,11756.209184552858,11719.29622214881,11768.534896953248
A5Z2X5,565126.7897997465,551145.4638897482,554871.5389916154,546419.4006492532,283737.84399157023,282133.57629994844,256530.74261136775,296285.4245595264
A6NCE7;Q9GZQ8,91485.11976940784,87820.44991715014,89551.84458728386,94434.5336080454,86790.5545651145,82824.43009049403,79984.5973275486,82213.58261107646
A6NDG6,23964.225738957917,25745.329041999456,26048.515358321285,26173.590779373477,24595.836148613114,24544.783403158257,23113.33321269591,22633.298486775482
A6NDU8,21012.178587030325,23566.641582691285,22300.699842055812,22691.121172283536,14817.751022233999,20427.306701930196,19919.111503345997,21555.373022356984
A6NED2,10137.627881214261,10760.058144571902,8604.812593700148,10559.126690033334,8248.140425359097,7708.487763288213,7212.075430452837,7259.896044568536
A6NFY7,701.4599489477998,1796.4853723094757,943.8430118801975,43.766101993116614,1.0426226836549242,261.9310273378832,1.0920743895568006,1.0343774425268086
A6NHL2,525584.4388293008,315815.5797417137,428832.48077829194,433902.06291766907,316598.09258386825,273401.6482980572,251922.3186739621,290318.1712378206
A6NHR9,14128.32885176716,13751.44254043793,13693.874243179485,13802.622046976237,13089.072081482584,12705.863671051518,12929.076360986766,13403.680514797063
A6NHT5,3012.3982227767724,4592.641134854942,4052.8186730547604,4002.7815161426843,3968.9428153538483,1615.1782622280857,1020.1196070154638,1542.542531634585
A6NIH7,8250.009263423442,7553.766975917343,7066.083373475138,7408.113594267671,5803.291114291198,7257.3665903401725,7715.728299076851,5935.17787793894
A6NJ78,4255.812285156179,4068.452354356165,3777.6847802343914,4476.446926650319,4375.043783415811,4110.313824000624,4102.582183793186,4033.636153471418
A6NKD9,2190.139556590377,2027.638206349771,2224.884116985732,2356.5582595471915,1870.658145012758,2012.9939634199484,2019.4008158481968,2086.3996038342343
A6NM11;A6NMS7;O60309,42030.332440282196,35527.67337669737,36645.94400237648,34772.368189715286,15426.020686594955,15985.271759232432,14062.761779391578,14054.172136517303
A6NNY8;Q9UPT9,1742.05074302112,2486.3391992932884,1705.0228005009753,2339.2517516471876,1002.6403365906974,52.94880028791517,61.95103077643992,1646.2729171589044
A6ZKI3,15645.552444188514,16087.407154572502,13916.80692375716,9611.979477550021,14672.045250342675,14151.888551733338,13349.879563090055,15503.95896608212
A7E2V4,74.1828002138823,4710.296157484435,3121.215970827211,101.7093430266189,113.53157755397427,3923.4595897904946,2827.574017068667,1748.3998005440137
A8CG34,4753.1030569710665,4957.9715820313695,5041.832196530568,4233.117090382296,4488.5923811523035,5302.43098703463,4910.970483103994,4901.6788054282115
A8MQ03,44882.41310577817,43438.073454857615,43299.90443737127,45841.98848419113,42652.47890621303,39447.27571640773,41340.912660630456,38072.11024951514
A8MWD9;P62308,239451.73249286364,235475.89168546037,242984.4192083955,228922.35342992036,227210.36647266627,219403.26219008307,223131.444060079,227381.96111007142
A8MXV4,16980.617676510734,11653.730437852817,13025.712462181657,11676.564421235229,12432.926732419484,18507.738575545573,12115.047620453332,8400.004681068573
B7ZAQ6;P0CG08,8852.598379300747,9406.874742318436,10128.883262369034,9494.954387105747,10246.023085800449,9599.368063216007,8987.918515555517,9315.258602803813
C4AMC7;Q6VEQ5,12169.410719563808,14273.625532216309,14548.104005497988,15038.83466612619,13061.222816204221,13110.66220345916,13501.311459074606,14299.295404626597
C9J069,11917.146733559213,14307.090215604234,18454.627683841783,15517.79025477295,17862.874561039112,62129.100832334414,66606.93829351534,58718.47979678693
C9J7I0,6883.5968623636745,5734.4832502118325,5773.9684924803205,7381.655964457719,4607.819422922041,6407.988699029702,5614.036688606362,5471.75517180984
C9JLW8,9622.560757389256,10883.847769442127,9758.261240694303,9604.253369540698,9142.083968249757,8631.080735293204,8587.971341620252,8494.332553648119
C9JQI7,21388.089493090534,30720.756664632398,28672.947812308266,34987.10408304417,26669.422104815203,18969.73568232574,23210.768626687863,17211.82718121776
E9PAV3;Q13765,345824.94751390367,328018.8975637489,322573.2620071249,329450.8002709154,336144.35103197565,332929.02551836974,335459.1793072063,336779.77966909925
E9PRG8,56659.58963512902,56203.2920344223,57662.51410494506,61799.97807428459,56371.79658973404,56734.43862681677,57218.95106244035,53608.04152986803
L0R6Q1,25737.439935826387,27349.179533423965,27908.406410075397,26546.452859237703,26033.82298368276,25242.805716472223,26390.159320083047,23802.620916790085
L0R819,11641.650051231327,12383.94888606505,12192.589967990763,11667.219464435186,12580.94864778029,10906.002282850488,12156.30831285103,12212.49088473023
L0R8F8,19589.853937993128,20121.4717391208,19364.83896980747,19824.53819589664,19973.556900061612,18722.566983443972,17651.40472248781,18382.070167756454
O00115,34541.861451160825,31544.81900220271,32078.46563609175,36057.157665857,34596.303411508416,33632.56029620725,35230.35212734347,35358.24777175256
