PG.ProteinGroups,20230224_Exp...S_OT2_MixA_TR1,20230224_Exp...S_OT2_MixA_TR2,20230224_Exp...S_OT2_MixA_TR3,20230224_Exp...S_OT2_MixA_TR4,20230224_Exp...S_OT2_MixB_TR1,20230224_Exp...S_OT2_MixB_TR2,20230224_Exp...S_OT2_MixB_TR3,20230224_Exp...S_OT2_MixB_TR4
A0A024RBG1;Q9NZJ9,8092,8295,8435,7637,8121,8420,8758,8621
A0A075B6T6,7326,8100,7824,7846,8151,8523,8537,8546
A0A0B4J2D5;P0DPI2,2339,2373,2357,2233,2531,2502,2406,2376
A0A0B4J2F0,2293,2033,2014,2023,2139,2243,2264,2491
A0A0U1RRE5,1948,2316,2039,2194,2583,2562,2505,2750
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,2009,2053,2043,2275,825,828,837,895
A0AVT1,3004,3136,2938,2907,3089,3064,3093,3194
A0FGR8,5340,5540,5408,5401,5614,5826,5663,5893
A0JNW5,9156,9539,9282,9273,7632,7863,7342,7352
A0MZ66,7206,7315,7001,7053,7113,7254,7366,7358
A0PJW6,3920,4323,4106,3952,4389,4602,4637,4688
A1L0T0,5404,5890,5502,5803,5547,5842,5409,5746
A1L390,9377,9766,9500,9625,9689,9670,9460,9509
A1X283,5654,5801,5617,5389,5624,5639,5620,5564
A2A3N6,2591,2846,2696,3286,3523,3498,3703,3769
A2RRP1,8790,8696,8805,8781,8820,8880,8900,8889
A2RTX5,9475,4608,7224,6423,10586,7031,6423,6961
A2RU30,10465,8970,7634,8605,10660,9529,9446,8995
A2RU67,9637,9425,10014,9976,9679,9581,9982,9743
A2RUS2,5737,4981,5253,4840,4356,3138,3723,3395
A3KMH1,8079,8163,8007,8258,8346,8618,8508,8320
A3KN83,6295,6153,6139,6073,6032,6223,6106,6140
A4D1E9,8558,8865,8779,8606,8548,9073,8778,8562
A4D1P6,7813,7878,7983,7931,7864,7643,7774,7900
A4D2P6,1538,1470,1491,1563,1857,1728,1855,1581
A5A614,5287,5262,7639,8966,8483,8562,8465,6813
A5PLL7,7504,8097,8139,7856,7457,7685,7648,7380
A5PLN9,3365,3034,3071,3071,4475,3665,3567,3307
A5YKK6,6120,6280,6271,6202,6306,6372,6402,6383
A5Z2X5,139,130,138,149,346,343,378,325
A6NCE7;Q9GZQ8,1068,1084,1083,1040,1156,1183,1239,1196
A6NDG6,3710,3433,3436,3426,3680,3647,3843,3899
A6NDU8,4150,3750,3925,3885,5431,4263,4363,4071
A6NED2,6930,6776,7613,6800,7630,7978,8167,8165
A6NFY7,10456,10371,10521,10667,10692,10643,10718,10714
A6NHL2,153,297,204,210,309,355,391,337
A6NHR9,5649,5773,5760,5748,5941,6074,6003,5872
A6NHT5,9811,9387,9529,9537,9480,10412,10529,10365
A6NIH7,7692,8109,8280,8075,8702,8166,7930,8729
A6NJ78,9376,9612,9633,9344,9305,9538,9531,9539
A6NKD9,10106,10311,10206,10124,10176,10298,10280,10217
A6NM11;A6NMS7;O60309,2200,2565,2521,2676,5272,5151,5653,5676
A6NNY8;Q9UPT9,10213,10180,10335,10128,10402,10687,10688,10338
A6ZKI3,5222,5113,5690,7150,5477,5650,5883,5259
A7E2V4,10614,9338,9894,10634,10581,9629,10006,10315
A8CG34,9178,9244,9160,9440,9262,9047,9197,9165
A8MQ03,2041,2113,2118,2030,2242,2438,2317,2506
A8MWD9;P62308,417,415,411,451,429,441,434,431
A8MXV4,4911,6448,5966,6402,6127,4610,6247,7668
B7ZAQ6;P0CG08,7445,7299,6999,7204,6868,7180,7379,7285
C4AMC7;Q6VEQ5,6237,5610,5506,5377,5948,5945,5829,5595
C9J069,6315,5602,4611,5243,4751,1551,1458,1644
C9J7I0,8261,8924,8844,8092,9201,8542,8890,8931
C9JLW8,7125,6733,7145,7154,7259,7555,7562,7623
C9JQI7,4089,2950,3153,2663,3426,4531,3834,4864
E9PAV3;Q13765,272,283,294,297,287,283,287,283
E9PRG8,1647,1649,1617,1541,1740,1705,1699,1800
L0R6Q1,3490,3258,3229,3377,3506,3564,3450,3726
L0R819,6415,6201,6230,6406,6090,6676,6233,6211
L0R8F8,4385,4293,4419,4374,4395,4571,4780,4633
O00115,2682,2891,2864,2587,2737,2797,2675,2654
O00116,1609,1611,1571,1577,1704,1715,1695,1750
O00124,9424,9942,9625,9420,8286,7585,7234,7312
O00139,3988,3995,4044,4048,4292,4387,4392,4240
O00148,1744,1832,1860,1741,1837,1894,1831,1875
O00151,2690,2723,2729,2677,2875,2917,2850,2873
O00154,1146,1165,1146,1151,1190,1160,1162,1184
O00159,1790,1840,1784,1804,1892,1928,1940,1901
O00160,5640,6273,5318,5842,5528,6362,6751,7360
O00161,1960,1954,1946,1930,2074,2011,2146,2125
O00165,7373,7351,7050,7115,7420,7596,7503,7293
O00170,3502,3907,3603,3602,4022,3812,3904,3852
O00178,6440,6574,6168,6471,6480,6273,6301,6626
O00180,5216,5168,5231,10017,5611,5560,7158,5796
O00186,5048,5182,5151,5086,5077,5304,5076,5497
O00193,3020,3234,2941,2726,3147,3130,3219,3284
O00194,8424,8127,8257,8193,8579,8427,8181,8010
O00203,4129,4060,4184,4067,4146,4155,4204,4265
O00214,5570,6666,6022,6117,5919,5670,5693,5471
O00217,2975,2968,3146,3246,2907,3110,3229,3096
O00220,9806,8303,8400,8414,8311,7595,8140,8260
O00231,1349,1353,1340,1340,1396,1405,1423,1399
O00232,1197,1200,1215,1200,1298,1265,1260,1303
O00233,2270,2327,2292,2343,2358,2449,2400,2248
O00244,6172,6314,6323,6007,6043,6231,6105,6384
O00255,6800,6044,6268,6530,7249,6963,6680,6770
O00257,7916,7621,8234,9499,7753,9480,7825,7717
O00258,9426,9994,9428,9598,10246,9698,9618,10134
O00264,852,867,874,855,912,931,948,954
O00267,4410,4555,4373,4536,4611,4726,4628,4651
O00273,4210,3918,3996,3914,4334,4110,4161,3983
O00287,10359,10653,10697,10689,10353,10330,10636,10454
O00299,346,363,356,357,375,370,374,366
O00303,848,856,893,875,877,876,864,870
O00308,10471,9855,9485,9693,10660,9894,9700,9467
O00330,6613,6340,6242,6338,6671,6601,6514,6422
O00399,6350,6958,6178,7471,6094,7275,6810,7248
O00400,6191,6424,6334,5670,6578,5576,6455,5852
O00401,8423,8650,8576,8382,8659,8383,8459,8438
O00410,1278,1320,1287,1300,1380,1364,1365,1376
O00411,8772,8709,8784,8909,8545,8740,8593,8594
O00418,5521,5931,5342,5566,6347,6401,6170,6244
O00422,2045,1728,1724,1709,2225,1846,1763,1802
O00423,10164,9906,10222,10196,10127,10504,6892,9991
O00425,1508,1577,1513,1488,1579,1585,1580,1590
O00429,2764,2770,2780,2795,2935,2934,2912,2836
O00442,5264,5719,5722,5344,5427,5402,5482,5540
O00443,6557,6455,6436,6297,6666,6649,6252,6702
O00458,6400,6771,7033,6480,7953,7296,7152,7550
O00461,4866,4962,4894,4810,4864,4920,4966,5151
O00468,9788,9317,9834,9873,9024,9279,9360,9225
O00469,1836,1928,1878,1856,1952,1998,1924,1975
O00471,3966,3752,3645,3794,3784,3728,3535,3602
O00483,538,579,528,518,568,575,563,595
O00487,2026,2186,2269,2175,2240,2227,2244,2320
O00488,4767,4309,4300,4085,5219,4695,4750,4774
O00499,3153,3186,3180,3136,3305,3347,3341,3255
O00505,3112,3002,3128,3139,3339,3240,3222,3113
O00506,6956,7114,6346,6360,6834,7030,7711,6651
O00507,8215,9316,8769,8743,8904,8917,9174,8899
O00522,8830,10656,9369,9284,9508,9384,9233,9843
O00541,2013,2153,1995,2026,2192,2294,2173,2229
O00559,9128,10063,9645,9017,9543,9716,9859,10007
O00560,3484,3524,3454,3478,3626,3577,3701,3595
O00566,4705,5065,4848,4543,5162,4911,5111,5005
O00567,1524,1585,1530,1525,1601,1672,1638,1638
O00571,1020,1034,1020,1020,1025,1063,1051,1058
O00584,9422,9560,9632,7529,9086,8893,8013,8609
O00592,569,601,604,590,589,589,591,578
O00622,8160,7929,8322,9520,8125,8181,7992,8316
O00625,1659,1816,1693,1688,1706,1856,1844,1806
O00629,3897,4443,4146,4087,4388,4316,4325,4237
O00712,2895,2851,2728,2843,3052,2872,2877,3025
O00743,2602,2687,2642,2929,2748,2769,2710,2702
O00754,10389,10331,10297,9935,10249,10272,10200,10155
O00762,1975,1996,1886,1887,2011,2046,1979,1971
O00763,2850,2945,2978,2901,3032,3114,3075,3023
O00764,1444,1442,1457,1435,1512,1497,1516,1556
O00767,1539,1563,1603,1501,1650,1704,1749,1731
O13297,8296,8441,8250,8294,9423,9671,9671,9610
O13516,351,343,349,335,754,793,794,809
O13539,5833,5731,5592,5889,5551,5156,5558,6013
O13547,2679,1724,4074,8546,3569,3927,3963,3566
O13563,5257,4785,5008,5006,7073,7514,7816,7448
O13585,5767,5980,5806,5992,8251,8910,8436,8154
O14455,8994,105,436,360,10322,277,446,614
O14467,484,504,487,477,1020,1090,1078,1072
O14468,9715,5027,10409,10187,9392,8697,8646,9957
O14493,10089,9899,9686,9617,10026,9717,10015,9672
O14494,6071,7437,7347,6242,6511,7381,7461,5933
O14497,8288,8570,8244,8217,8477,8298,8357,8527
O14519,5331,2980,3842,4196,5350,3012,3716,3421
O14521,927,995,1067,1023,990,1154,1138,1229
O14523,10670,10608,10522,10429,10673,10644,10584,10702
O14530,3282,3326,3270,3339,3304,3373,3380,3457
O14545,8933,7755,7872,7995,8152,7124,7415,6932
O14548,4194,4449,4284,4024,4478,4503,4265,5049
O14561,1872,1851,2156,3000,1866,1842,1871,1960
O14562,1917,2270,2008,2140,2251,2160,2158,2367
O14569,4479,4801,4682,4391,4578,4598,4665,4549
