PG.ProteinGroups,HYE mix A/HYE mix B|signal_log2_ratio,HYE mix A/HYE mix B|raw_p_value,HYE mix A/HYE mix B|adjusted_p_value
A0A024RBG1;Q9NZJ9,0.1293037728529015,0.37267822778914916,0.7116676803160858
A0A0B4J2D5;P0DPI2,0.05503602764462981,0.8261068299087715,1
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,-1.4797311183541804,1.1307952418661621e-4,4.3322255410445506e-4
A0AVT1,0.022867696131685825,0.999929484533136,1
A0FGR8,0.08101889280046187,0.7782165220098858,1
A0JNW5,-0.9378030423872186,0.7604082880059873,1
A0MZ66,0.056345090354940994,0.9621183210291124,1
A0PJW6,0.10639090634410536,0.4103480590496465,0.7640890198961924
A1L0T0,-0.05213246109782541,0.9841892981759388,1
A1L390,-0.07226276529012575,0.7439148580826616,1
A1X283,-0.028389534576579133,0.9980723509014544,1
A2RRP1,0.1268728761060158,0.9999932319255747,1
A2RTX5,1.3909028149823872,0.1837358549545303,0.40502659398460655
A2RUS2,-0.3664711224994902,0.4014446413053261,0.7522092624144324
A3KMH1,0.1416086052819519,0.9607088363040447,1
A3KN83,-0.008330784080367255,0.9999999164814648,1
A4D1E9,0.049541121555521976,0.7686430800353685,1
A4D1P6,-0.07405360212885895,0.6028907102489613,0.9934920472484036
A4D2P6,0.13023806179566833,0.545629740290805,0.9311527187753598
A5PLL7,-0.12887000220036526,0.2765785787198305,0.5655271639511732
A5PLN9,0.23114177428834728,0.24242357398022663,0.5097878448719991
A5YKK6,0.05300040115168936,0.9999939639375126,1
A6NCE7;Q9GZQ8,0.08545477005931651,0.36670732353174756,0.7024016960071419
A6NDG6,0.08461543668506008,0.7115544865655472,1
A6NDU8,0.2392405801021037,0.42303076743358836,0.7818710239975606
A6NED2,0.4490814468115133,0.08609906489674046,0.2090810286053229
A6NHR9,0.10382442995243152,0.541353253547427,0.9266648211544808
A6NIH7,-0.11275893299136638,0.9999760591027598,1
A6NJ78,-0.09817222849205269,0.6050938704391036,0.996204713667079
A6NKD9,0.194781703914697,0.220503676349828,0.4709842657066091
A6NNY8;Q9UPT9,2.650070831628553,0.060550352112712064,0.15156655668801333
A6ZKI3,-0.1230290075553413,0.7329697438621947,1
A7E2V4,-1.0324596755442559,0.36871841019025114,0.7055924899064081
A8CG34,-0.038048099848014834,0.9845546334420863,1
A8MQ03,0.10178970420113065,0.3727712049972527,0.7116676803160858
A8MWD9;P62308,0.04257322167695441,0.8248910906188338,1
A8MXV4,-0.031161672808407162,0.8211944796310388,1
B7ZAQ6;P0CG08,-0.0034549551707868807,0.9994723232161081,1
C4AMC7;Q6VEQ5,0.02279969039949721,0.9520789367411686,1
C9J7I0,0.18777341426615402,0.28155960529770013,0.5727803079525347
C9JLW8,0.14370403552013328,0.16921575854211426,0.37735958123762015
E9PAV3;Q13765,-0.02393112610938445,0.9522340106943621,1
E9PRG8,-0.00876739836210171,0.9744146322816669,1
L0R6Q1,0.1131043917726851,0.2731130555493941,0.5599495986053779
L0R819,-0.13838529944731387,0.4202085568991263,0.778002682282703
L0R8F8,0.037098838548722896,0.9923305243752762,1
O00115,-0.057950231828079804,0.9274569381280747,1
O00116,0.029373089256333206,0.9884969911585093,1
O00124,-1.1716668141146902,0.8960185826330789,1
O00139,0.09835796014411063,0.2299431652366945,0.4883277471116107
O00148,-0.029093699052135092,0.8965459238908609,1
O00151,0.008615384130907223,0.9999479339036929,1
O00154,-0.06534179936224561,0.7313201223861963,1
O00159,3.0321524213549906e-4,1,1
O00161,-0.008295596310120654,0.9996611655418326,1
O00165,0.06324402723583464,0.9382066570669083,1
O00170,0.04317740661343722,0.7992632988795945,1
O00178,-0.029984705850923773,0.9752072128272703,1
O00180,-0.3788941556467255,0.9815425352403749,1
O00186,-0.016548009392844447,0.9974958421048739,1
O00193,0.02675210239057349,0.9909980998573591,1
O00194,-0.05018068429404179,0.6686341635326125,1
O00203,-0.006623817248689786,0.9999999981756691,1
O00214,-0.18727046773521627,0.16538839630367405,0.36990055871920097
O00217,-0.09363068669438349,0.8274593894205454,1
O00220,-0.43189502440334704,0.19303402990568644,0.42119727021511205
O00231,0.008791403134599841,0.9999994658627849,1
O00232,0.021487495064907124,0.9979398400539305,1
O00233,0.015126335719380045,0.9871112165771581,1
O00244,-0.026423444067421226,0.8501177883058936,1
O00255,0.254893641474359,0.5899183614518319,0.9808512452339027
O00257,-0.07968760198542138,0.9908169478568605,1
O00258,0.4234392612469052,0.1281360317619112,0.2978993802660726
O00264,0.03716792118828555,0.8304722170185767,1
O00267,0.015103030753430226,0.9999999574186138,1
O00273,0.026785561519486443,0.9999745945739722,1
O00287,-4.8118456562886935,0.0014808732143240337,0.00488660838342903
O00299,0.052662906754107716,0.5823566004349321,0.9709864324529609
O00303,-0.05777485882678814,0.6121038377968642,1
O00330,0.008092793948529116,0.9999913352880673,1
O00399,0.010819851487619079,0.9434217786369621,1
O00400,-0.01682345043916146,0.9800998450953569,1
O00401,-0.10030836130739126,0.9919807186792468,1
O00410,0.007492016658405211,0.9999999999998106,1
O00411,-0.2823968507409027,0.08213922743274803,0.2003719139760898
O00418,0.15978547490555672,0.7121459468172595,1
O00422,0.018425193776311948,0.9998857344823961,1
O00425,-0.05347477040781247,0.7437644966882887,1
O00429,0.009276077577472537,0.9999999998382108,1
O00442,0.006117424166621579,0.9996757023310978,1
O00443,0.0990433782516901,0.8311377715675045,1
O00458,0.30015267377618954,0.10529581779383951,0.2503721295691761
O00461,0.020551386695830984,0.9989787204298631,1
O00468,-0.4763819133853737,0.02590857476380367,0.06905735613273153
O00469,-0.030207023149108798,0.9926813261681486,1
O00471,-0.09902320754049086,0.6382617289025937,1
O00483,0.12918729913241134,0.4772877009640884,0.8509344274872291
O00487,-0.012813511254142054,0.9970340176057764,1
O00488,0.15925406851302154,0.6742096813060114,1
O00499,0.006253238935938557,0.9999904947217126,1
O00505,0.04471038845905115,0.9940015611665403,1
O00541,0.031869660810047246,0.9748366753411096,1
O00560,0.04775737936737762,0.871698609135845,1
O00566,0.1441037315417221,0.47564785867201087,0.8486036151019184
O00567,-0.005076088095435189,0.999999999774873,1
O00571,-0.01701229297643216,0.9999945414258842,1
O00584,-0.33048411567377356,0.29452873708423816,0.5938722054962344
O00592,0.02187319309120832,0.9347654942292968,1
O00622,-0.27110542549113675,0.4338653776820981,0.7950265382018677
O00625,0.009259670216017288,0.998927404443869,1
O00629,-0.01945243868074824,0.9650627589296785,1
O00712,-0.05219814730919761,0.8297474202031708,1
O00743,-0.06462975507872384,0.9125088606002394,1
O00762,-0.050865282380154024,0.8255742137926664,1
O00763,0.03203380198161042,0.9979700373091516,1
O00764,-0.005042982565278233,0.9999915313279215,1
O00767,0.047157913931455325,0.5947124707908582,0.986012614145143
O13297,0.8935890585739812,1.444721333456346e-9,1.0611433695633162e-8
O13516,1.1369241026693304,1.1021173977284864e-12,1.1958363796789068e-11
O13539,-0.09643714156774297,0.9999278255327528,1
O13563,0.8477032485725692,2.6890187561743235e-6,1.2734271964919095e-5
O13585,0.9798665316478039,5.2945318670710794e-8,3.133790483482612e-7
O14467,1.178893456758869,3.322069304345688e-12,3.421221276865027e-11
O14497,0.015959905476541587,0.9999998072740065,1
O14519,-0.49364433276117553,0.9560074937500926,1
O14530,-0.02780906937918194,0.9934547356003435,1
O14545,-0.17160855562950872,0.2529832425759723,0.5263208949365565
O14548,0.2746338391823593,0.5162978494717806,0.8967847874590691
O14561,-0.29411087342898584,0.07701824872284085,0.18912650504457787
O14562,-0.012276869183554043,0.9740378893726149,1
O14578,-0.09302425023465383,0.8620662639664783,1
O14579,0.032879583081572177,0.8886916415567785,1
O14617,-0.04943992090164007,0.9997816481184942,1
O14618,-0.39686782562213996,0.15774263289871526,0.35509464938873786
O14639,0.17291053415431876,0.11290776858050659,0.2661716310714886
O14641,0.0021522937523294847,0.9679821716806192,1
O14646,-0.07032575827160285,0.9841743548458621,1
O14647,0.11450070867382742,0.6833728304619346,1
O14653,0.006727609616235964,0.9429593489683603,1
O14656,-0.030450086290651216,0.9529417569642352,1
O14657,0.03801406929978307,0.931863720440892,1
O14662,-0.25019566863268616,0.07402734634920219,0.1822407556029568
O14672,-0.20509906201446837,0.009098399685390762,0.026302512668084123
O14684,0.39710430816328884,0.23454801943839695,0.4959477431711207
O14686,-0.16338511683243329,0.708903783478035,1
